.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
124  3  0.49  71  e  1  5547309.45454545|278  3  0.5738  68  ne  2  6046430.4
124  3  0.49  71  e  1  5547309.45454545|279  3  0.4488  55  ne  2  5547169.45454545
124  3  0.49  71  e  1  5547309.45454545|280  2  0.509  65  ne  2  6063661.2
124  3  0.49  71  e  1  5547309.45454545|283  3  0.4835  71  ne  2  5550046.90909091
124  3  0.49  71  e  1  5547309.45454545|284  1  0.4742  77  ne  2  6092055.6
124  3  0.49  71  e  1  5547309.45454545|285  0  0.5323  88  ne  2  6082268
124  3  0.49  71  e  1  5547309.45454545|288  2  0.3922  76  ne  2  6073363.2
124  3  0.49  71  e  1  5547309.45454545|290  3  0.5203  62  ne  2  5548942.36363636
124  3  0.49  71  e  1  5547309.45454545|292  1  0.4996  76  ne  2  6088548.4
124  3  0.49  71  e  1  5547309.45454545|295  2  0.603  78  ne  2  6075778
124  3  0.49  71  e  1  5547309.45454545|301  1  0.5775  77  ne  2  6093121.6
124  3  0.49  71  e  1  5547309.45454545|303  3  0.524  82  ne  2  5551919.45454545
124  3  0.49  71  e  1  5547309.45454545|306  3  0.3826  67  ne  2  6046735.2
124  3  0.49  71  e  1  5547309.45454545|307  3  0.4636  74  ne  2  5543551.81818182
124  3  0.49  71  e  1  5547309.45454545|308  3  0.3424  72  ne  2  5548309.81818182
124  3  0.49  71  e  1  5547309.45454545|309  1  0.5889  88  ne  2  6100320
124  3  0.49  71  e  1  5547309.45454545|310  1  0.5437  69  ne  2  6072874
124  3  0.49  71  e  1  5547309.45454545|312  3  0.5423  67  ne  2  6049997.2
124  3  0.49  71  e  1  5547309.45454545|313  0  0.5488  59  ne  2  6085408.4
124  3  0.49  71  e  1  5547309.45454545|319  3  0.347  82  ne  2  6052308.8
124  3  0.49  71  e  1  5547309.45454545|320  3  0.3715  78  ne  2  5551252.90909091
124  3  0.49  71  e  1  5547309.45454545|323  3  0.4848  80  ne  2  5553400.54545455
124  3  0.49  71  e  1  5547309.45454545|324  2  0.4541  49  ne  2  6063959.2
124  3  0.49  71  e  1  5547309.45454545|326  2  0.4924  64  ne  2  6077162.4
124  3  0.49  71  e  1  5547309.45454545|329  0  0.6038  81  ne  2  6070368.8
124  3  0.49  71  e  1  5547309.45454545|330  2  0.4438  67  ne  2  6068390.4
124  3  0.49  71  e  1  5547309.45454545|333  3  0.4227  71  ne  2  6046144.4
124  3  0.49  71  e  1  5547309.45454545|335  3  0.5505  61  ne  2  5551590.72727273
124  3  0.49  71  e  1  5547309.45454545|337  3  0.7139  76  ne  2  5547096.72727273
124  3  0.49  71  e  1  5547309.45454545|339  3  0.5789  91  ne  2  6052529.6
124  3  0.49  71  e  1  5547309.45454545|340  3  0.3582  73  ne  2  5548885.27272727
124  3  0.49  71  e  1  5547309.45454545|341  0  0.4073  74  ne  2  6070084.8
124  3  0.49  71  e  1  5547309.45454545|342  3  0.5556  75  ne  2  5555007.09090909
124  3  0.49  71  e  1  5547309.45454545|343  3  0.3218  67  ne  2  5551762.90909091
124  3  0.49  71  e  1  5547309.45454545|344  3  0.3535  71  ne  2  5549454.72727273
124  3  0.49  71  e  1  5547309.45454545|347  2  0.4291  75  ne  2  6070346.4
124  3  0.49  71  e  1  5547309.45454545|348  3  0.6694  72  ne  2  6054335.2
124  3  0.49  71  e  1  5547309.45454545|351  3  0.544  75  ne  2  5553743.09090909
124  3  0.49  71  e  1  5547309.45454545|353  2  0.4532  66  ne  2  6069564
124  3  0.49  71  e  1  5547309.45454545|354  3  0.4638  70  ne  2  5552504
124  3  0.49  71  e  1  5547309.45454545|355  3  0.5405  67  ne  2  6046672
124  3  0.49  71  e  1  5547309.45454545|356  3  0.5137  64  ne  2  6047347.6
124  3  0.49  71  e  1  5547309.45454545|360  3  0.4381  76  ne  2  5545569.45454545
124  3  0.49  71  e  1  5547309.45454545|361  1  0.613  64  ne  2  6097123.2
124  3  0.49  71  e  1  5547309.45454545|362  3  0.4041  83  ne  2  5550615.27272727
124  3  0.49  71  e  1  5547309.45454545|364  3  0.5705  73  ne  2  5551597.63636364
124  3  0.49  71  e  1  5547309.45454545|365  0  0.6178  73  ne  2  6085085.6
124  3  0.49  71  e  1  5547309.45454545|370  2  0.4823  65  ne  2  6075731.6
124  3  0.49  71  e  1  5547309.45454545|371  3  0.4806  71  ne  2  5549374.90909091
124  3  0.49  71  e  1  5547309.45454545|374  3  0.4437  71  ne  2  5552580.36363636
124  3  0.49  71  e  1  5547309.45454545|378  3  0.437  65  ne  2  5550890.18181818
124  3  0.49  71  e  1  5547309.45454545|382  3  0.6195  41  ne  2  5549425.81818182
124  3  0.49  71  e  1  5547309.45454545|384  2  0.5833  71  ne  2  6073957.2
124  3  0.49  71  e  1  5547309.45454545|385  1  0.5657  89  ne  2  6092151.2
124  3  0.49  71  e  1  5547309.45454545|386  3  0.6592  73  ne  2  5550980.90909091
124  3  0.49  71  e  1  5547309.45454545|387  3  0.4523  74  ne  2  6048541.6
124  3  0.49  71  e  1  5547309.45454545|391  3  0.4276  75  ne  2  5549992
124  3  0.49  71  e  1  5547309.45454545|393  1  0.6135  57  ne  2  6089768.8
124  3  0.49  71  e  1  5547309.45454545|394  2  0.4968  71  ne  2  6069276
124  3  0.49  71  e  1  5547309.45454545|395  2  0.4127  60  ne  2  6067330
124  3  0.49  71  e  1  5547309.45454545|399  2  0.4047  64  ne  2  6075040.4
124  3  0.49  71  e  1  5547309.45454545|400  3  0.5056  78  ne  2  6052703.2
124  3  0.49  71  e  1  5547309.45454545|401  1  0.5621  62  ne  2  6068371.2
124  3  0.49  71  e  1  5547309.45454545|403  1  0.4496  65  ne  2  6079820
124  3  0.49  71  e  1  5547309.45454545|404  2  0.5028  53  ne  2  6079652.4
124  3  0.49  71  e  1  5547309.45454545|405  3  0.376  72  ne  2  5551125.81818182
124  3  0.49  71  e  1  5547309.45454545|410  3  0.428  70  ne  2  6048762.4
124  3  0.49  71  e  1  5547309.45454545|414  3  0.4941  62  ne  2  6051823.2
124  3  0.49  71  e  1  5547309.45454545|415  0  0.3677  75  ne  2  6073747.6
124  3  0.49  71  e  1  5547309.45454545|420  3  0.4725  73  ne  2  5547348.36363636
124  3  0.49  71  e  1  5547309.45454545|421  2  0.4982  55  ne  2  6073014.8
124  3  0.49  71  e  1  5547309.45454545|424  3  0.4799  52  ne  2  5553967.63636364
