.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
186  3  0.1929  10  e  1  4341558.88888889|431  0  0.0677  16  ne  2  3249011.2
186  3  0.1929  10  e  1  4341558.88888889|433  3  0.1373  10  ne  2  3237371.6
186  3  0.1929  10  e  1  4341558.88888889|446  3  0.0905  8  ne  2  3240779.2
186  3  0.1929  10  e  1  4341558.88888889|447  3  0.089  6  ne  2  4342122.88888889
186  3  0.1929  10  e  1  4341558.88888889|448  2  0.3103  17  ne  2  3250285.2
186  3  0.1929  10  e  1  4341558.88888889|449  1  0.2009  16  ne  2  3248740
186  3  0.1929  10  e  1  4341558.88888889|453  3  0.1763  11  ne  2  4342868.66666667
186  3  0.1929  10  e  1  4341558.88888889|454  3  0.2054  23  ne  2  4345335.77777778
186  3  0.1929  10  e  1  4341558.88888889|456  1  0.1631  18  ne  2  3246281.2
186  3  0.1929  10  e  1  4341558.88888889|461  3  0.2013  24  ne  2  4347447.77777778
186  3  0.1929  10  e  1  4341558.88888889|465  3  0.1919  6  ne  2  4347528.44444444
186  3  0.1929  10  e  1  4341558.88888889|466  0  0.2747  20  ne  2  3249114.8
186  3  0.1929  10  e  1  4341558.88888889|467  0  0.2103  15  ne  2  3260535.6
186  3  0.1929  10  e  1  4341558.88888889|469  2  0.1079  20  ne  2  3251062
186  3  0.1929  10  e  1  4341558.88888889|470  1  0.0428  27  ne  2  3251038
186  3  0.1929  10  e  1  4341558.88888889|472  3  0.1323  20  ne  2  3237936.8
186  3  0.1929  10  e  1  4341558.88888889|473  3  0.2818  10  ne  2  3235826.4
186  3  0.1929  10  e  1  4341558.88888889|474  1  0.2551  27  ne  2  3252640.8
186  3  0.1929  10  e  1  4341558.88888889|475  0  0.0887  16  ne  2  4475892.28571429
186  3  0.1929  10  e  1  4341558.88888889|476  0  0.0402  5  ne  2  3260208.8
186  3  0.1929  10  e  1  4341558.88888889|477  1  0.0998  14  ne  2  3254664.8
186  3  0.1929  10  e  1  4341558.88888889|478  3  0.1427  9  ne  2  4345965.11111111
186  3  0.1929  10  e  1  4341558.88888889|479  2  0.0773  13  ne  2  4483648
186  3  0.1929  10  e  1  4341558.88888889|482  1  0.2165  8  ne  2  3247213.2
186  3  0.1929  10  e  1  4341558.88888889|484  0  0.1915  10  ne  2  3255407.2
186  3  0.1929  10  e  1  4341558.88888889|489  3  0.2262  11  ne  2  4344696.66666667
149  3  0.6051  45  e  1  4347955.77777778|283  1  0.4185  43  ne  2  3260614.4
149  3  0.6051  45  e  1  4347955.77777778|285  3  0.6946  42  ne  2  4344877.33333333
149  3  0.6051  45  e  1  4347955.77777778|287  0  0.5527  52  ne  2  4491613.71428571
149  3  0.6051  45  e  1  4347955.77777778|292  2  0.6603  41  ne  2  3261920
149  3  0.6051  45  e  1  4347955.77777778|294  1  0.5499  47  ne  2  3263706.8
149  3  0.6051  45  e  1  4347955.77777778|297  1  0.7164  51  ne  2  3263029.2
149  3  0.6051  45  e  1  4347955.77777778|299  3  0.6152  45  ne  2  3240879.6
149  3  0.6051  45  e  1  4347955.77777778|301  2  0.5983  49  ne  2  3258703.2
149  3  0.6051  45  e  1  4347955.77777778|309  0  0.487  57  ne  2  4490473.71428571
149  3  0.6051  45  e  1  4347955.77777778|312  2  0.5358  44  ne  2  4486824.85714286
