.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
158  3  0.22  5  e  1  5302670.4|280  3  0.03  16  ne  2  5301179.2
158  3  0.22  5  e  1  5302670.4|281  2  0.21  6  ne  2  6071956.4
158  3  0.22  5  e  1  5302670.4|282  3  0.27  12  ne  2  5659240.75
158  3  0.22  5  e  1  5302670.4|283  3  0.09  18  ne  2  5302278.4
158  3  0.22  5  e  1  5302670.4|286  3  0.18  5  ne  2  5300166.4
158  3  0.22  5  e  1  5302670.4|288  0  0.27  8  ne  2  6076133.6
158  3  0.22  5  e  1  5302670.4|290  2  0.26  7  ne  2  6071330
158  3  0.22  5  e  1  5302670.4|291  1  0.21  8  ne  2  6077752
158  3  0.22  5  e  1  5302670.4|295  2  0.3  18  ne  2  6069184
158  3  0.22  5  e  1  5302670.4|297  3  0.32  5  ne  2  5661946.5
158  3  0.22  5  e  1  5302670.4|310  2  0.25  18  ne  2  6074027.2
158  3  0.22  5  e  1  5302670.4|311  0  0.28  11  ne  2  6083953.6
158  3  0.22  5  e  1  5302670.4|313  1  0.28  8  ne  2  6082052.4
158  3  0.22  5  e  1  5302670.4|315  3  0.33  6  ne  2  5301101.2
158  3  0.22  5  e  1  5302670.4|317  3  0.31  8  ne  2  5658983.25
158  3  0.22  5  e  1  5302670.4|319  1  0.05  13  ne  2  6070189.2
158  3  0.22  5  e  1  5302670.4|320  2  0.19  10  ne  2  6067804.4
158  3  0.22  5  e  1  5302670.4|321  2  0.08  28  ne  2  6075135.6
158  3  0.22  5  e  1  5302670.4|322  2  0.2  14  ne  2  6071345.2
158  3  0.22  5  e  1  5302670.4|323  1  0.21  5  ne  2  6075733.2
158  3  0.22  5  e  1  5302670.4|326  3  0.3  15  ne  2  5661977.5
158  3  0.22  5  e  1  5302670.4|330  2  0.16  13  ne  2  6060113.2
158  3  0.22  5  e  1  5302670.4|331  3  0.29  13  ne  2  5302419.8
158  3  0.22  5  e  1  5302670.4|332  0  0.2  13  ne  2  6077970.4
158  3  0.22  5  e  1  5302670.4|338  0  0.26  5  ne  2  6102408.4
158  3  0.22  5  e  1  5302670.4|342  1  0.26  15  ne  2  6070257.6
158  3  0.22  5  e  1  5302670.4|345  3  0.04  12  ne  2  5658308.5
158  3  0.22  5  e  1  5302670.4|346  0  0.22  8  ne  2  6084534.4
158  3  0.22  5  e  1  5302670.4|351  0  0.13  20  ne  2  6066009.2
158  3  0.22  5  e  1  5302670.4|352  2  0.36  10  ne  2  6074304.4
158  3  0.22  5  e  1  5302670.4|355  3  0.16  11  ne  2  5662161.25
158  3  0.22  5  e  1  5302670.4|356  3  0.32  7  ne  2  5294460.8
158  3  0.22  5  e  1  5302670.4|359  3  0.11  12  ne  2  5657927
158  3  0.22  5  e  1  5302670.4|362  0  0.18  9  ne  2  6075140.4
158  3  0.22  5  e  1  5302670.4|363  0  0.2  7  ne  2  6083027.2
158  3  0.22  5  e  1  5302670.4|364  3  0.07  18  ne  2  5304199.8
158  3  0.22  5  e  1  5302670.4|366  1  0.32  10  ne  2  6085248.8
158  3  0.22  5  e  1  5302670.4|367  2  0.22  7  ne  2  6068208.8
158  3  0.22  5  e  1  5302670.4|368  1  0.29  17  ne  2  6083865.2
158  3  0.22  5  e  1  5302670.4|369  2  0.2  5  ne  2  6069642.8
158  3  0.22  5  e  1  5302670.4|374  1  0.28  30  ne  2  6074315.6
158  3  0.22  5  e  1  5302670.4|375  2  0.14  6  ne  2  6074804.4
158  3  0.22  5  e  1  5302670.4|376  2  0.22  14  ne  2  6074919.2
158  3  0.22  5  e  1  5302670.4|377  3  0.29  7  ne  2  5299421.6
158  3  0.22  5  e  1  5302670.4|378  3  0.34  5  ne  2  5301359.8
158  3  0.22  5  e  1  5302670.4|379  3  0.23  5  ne  2  5298471.8
