.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
246  3  0.45  35  e  1  3299748|282  2  0.47  22  ne  2  3315043.2
246  3  0.45  35  e  1  3299748|284  3  0.51  28  ne  2  3299648.6
246  3  0.45  35  e  1  3299748|285  3  0.43  39  ne  2  3301123
246  3  0.45  35  e  1  3299748|286  1  0.56  50  ne  2  4065745.33333333
246  3  0.45  35  e  1  3299748|288  3  0.44  27  ne  2  4041761
246  3  0.45  35  e  1  3299748|289  3  0.42  28  ne  2  3305388.8
246  3  0.45  35  e  1  3299748|290  3  0.32  28  ne  2  4044377
246  3  0.45  35  e  1  3299748|293  0  0.51  41  ne  2  4061273.33333333
246  3  0.45  35  e  1  3299748|295  3  0.46  26  ne  2  3302352.8
246  3  0.45  35  e  1  3299748|299  2  0.42  31  ne  2  4060013
246  3  0.45  35  e  1  3299748|302  2  0.49  45  ne  2  3316869.6
246  3  0.45  35  e  1  3299748|303  3  0.57  33  ne  2  4041231
246  3  0.45  35  e  1  3299748|304  3  0.48  33  ne  2  3306777
246  3  0.45  35  e  1  3299748|307  3  0.46  37  ne  2  3301951.6
246  3  0.45  35  e  1  3299748|309  2  0.32  39  ne  2  4054957
246  3  0.45  35  e  1  3299748|311  0  0.35  34  ne  2  4066187.66666667
246  3  0.45  35  e  1  3299748|315  0  0.5  42  ne  2  4062868.66666667
246  3  0.45  35  e  1  3299748|316  1  0.5  49  ne  2  4061286
246  3  0.45  35  e  1  3299748|318  2  0.52  35  ne  2  4059283.33333333
246  3  0.45  35  e  1  3299748|319  1  0.35  50  ne  2  4061797.66666667
246  3  0.45  35  e  1  3299748|320  3  0.25  23  ne  2  3300184.2
246  3  0.45  35  e  1  3299748|322  3  0.54  41  ne  2  4045252.33333333
246  3  0.45  35  e  1  3299748|324  3  0.43  50  ne  2  3302691.2
246  3  0.45  35  e  1  3299748|328  3  0.48  25  ne  2  3299265.2
246  3  0.45  35  e  1  3299748|333  2  0.57  17  ne  2  4067338
246  3  0.45  35  e  1  3299748|336  3  0.52  28  ne  2  3305201.2
246  3  0.45  35  e  1  3299748|342  2  0.39  39  ne  2  3313547
246  3  0.45  35  e  1  3299748|343  1  0.31  35  ne  2  4062617
246  3  0.45  35  e  1  3299748|344  1  0.4  45  ne  2  4057830
246  3  0.45  35  e  1  3299748|345  0  0.33  38  ne  2  4065398.66666667
246  3  0.45  35  e  1  3299748|346  3  0.42  39  ne  2  3303652
246  3  0.45  35  e  1  3299748|351  3  0.38  37  ne  2  3303068.4
246  3  0.45  35  e  1  3299748|352  3  0.46  34  ne  2  3300124
246  3  0.45  35  e  1  3299748|356  2  0.31  38  ne  2  4059809.33333333
246  3  0.45  35  e  1  3299748|363  1  0.41  48  ne  2  4059553.66666667
246  3  0.45  35  e  1  3299748|364  3  0.51  43  ne  2  3304335.6
246  3  0.45  35  e  1  3299748|367  1  0.48  17  ne  2  4073377.66666667
246  3  0.45  35  e  1  3299748|370  0  0.4  51  ne  2  4067302.33333333
246  3  0.45  35  e  1  3299748|371  3  0.48  17  ne  2  4046714.33333333
246  3  0.45  35  e  1  3299748|374  2  0.44  39  ne  2  4061902.66666667
246  3  0.45  35  e  1  3299748|377  1  0.47  20  ne  2  4069316.33333333
246  3  0.45  35  e  1  3299748|381  0  0.44  47  ne  2  4062629.66666667
246  3  0.45  35  e  1  3299748|384  3  0.48  25  ne  2  3299265.2
246  3  0.45  35  e  1  3299748|386  3  0.57  45  ne  2  3302533.6
246  3  0.45  35  e  1  3299748|388  3  0.62  15  ne  2  3302804.4
246  3  0.45  35  e  1  3299748|389  3  0.49  21  ne  2  3301743.8
246  3  0.45  35  e  1  3299748|391  0  0.38  34  ne  2  4065107
246  3  0.45  35  e  1  3299748|392  2  0.46  39  ne  2  3315746.2
246  3  0.45  35  e  1  3299748|395  0  0.57  42  ne  2  4071137
246  3  0.45  35  e  1  3299748|396  3  0.43  38  ne  2  3302946.4
246  3  0.45  35  e  1  3299748|397  3  0.5  30  ne  2  3302437.4
246  3  0.45  35  e  1  3299748|398  3  0.41  27  ne  2  3299938.8
246  3  0.45  35  e  1  3299748|400  2  0.36  25  ne  2  3312548.4
246  3  0.45  35  e  1  3299748|403  3  0.45  31  ne  2  3303826.8
246  3  0.45  35  e  1  3299748|406  3  0.42  28  ne  2  3305388.8
246  3  0.45  35  e  1  3299748|407  1  0.58  47  ne  2  4079581.66666667
246  3  0.45  35  e  1  3299748|408  3  0.49  29  ne  2  3301478.6
246  3  0.45  35  e  1  3299748|410  3  0.51  41  ne  2  3304392.8
246  3  0.45  35  e  1  3299748|411  3  0.46  27  ne  2  3302548
246  3  0.45  35  e  1  3299748|412  1  0.43  37  ne  2  4070746
246  3  0.45  35  e  1  3299748|413  2  0.55  32  ne  2  4060358.33333333
246  3  0.45  35  e  1  3299748|414  3  0.57  25  ne  2  4046004.66666667
246  3  0.45  35  e  1  3299748|415  2  0.34  29  ne  2  4059870.66666667
246  3  0.45  35  e  1  3299748|419  2  0.53  51  ne  2  4060193.66666667
246  3  0.45  35  e  1  3299748|421  0  0.32  48  ne  2  4057536.66666667
246  3  0.45  35  e  1  3299748|424  3  0.5  32  ne  2  4042302.33333333
246  3  0.45  35  e  1  3299748|426  2  0.48  22  ne  2  4061919.33333333
246  3  0.45  35  e  1  3299748|427  3  0.57  20  ne  2  3300406.4
246  3  0.45  35  e  1  3299748|430  0  0.42  23  ne  2  4068484
246  3  0.45  35  e  1  3299748|434  3  0.49  32  ne  2  3303452.4
246  3  0.45  35  e  1  3299748|437  3  0.59  32  ne  2  3303537.8
246  3  0.45  35  e  1  3299748|439  3  0.6  49  ne  2  3305682.4
246  3  0.45  35  e  1  3299748|440  0  0.34  42  ne  2  4058120.66666667
246  3  0.45  35  e  1  3299748|442  3  0.49  18  ne  2  3302849.2
246  3  0.45  35  e  1  3299748|443  3  0.42  36  ne  2  3306626.4
246  3  0.45  35  e  1  3299748|444  0  0.48  53  ne  2  4067751
246  3  0.45  35  e  1  3299748|445  1  0.42  35  ne  2  4055851
246  3  0.45  35  e  1  3299748|446  3  0.46  44  ne  2  3300004.6
246  3  0.45  35  e  1  3299748|447  1  0.38  32  ne  2  4057363.66666667
246  3  0.45  35  e  1  3299748|448  2  0.37  25  ne  2  3311868.8
246  3  0.45  35  e  1  3299748|449  2  0.44  38  ne  2  4051776
246  3  0.45  35  e  1  3299748|450  3  0.44  20  ne  2  3304545.4
246  3  0.45  35  e  1  3299748|451  1  0.58  36  ne  2  4074578
246  3  0.45  35  e  1  3299748|452  3  0.33  40  ne  2  3301164.2
246  3  0.45  35  e  1  3299748|454  1  0.37  40  ne  2  4065227
246  3  0.45  35  e  1  3299748|459  3  0.43  30  ne  2  4044917
246  3  0.45  35  e  1  3299748|463  2  0.49  29  ne  2  4055863.33333333
246  3  0.45  35  e  1  3299748|464  3  0.56  25  ne  2  3306707.8
246  3  0.45  35  e  1  3299748|466  3  0.46  37  ne  2  3301951.6
204  3  0.21  20  e  1  3302772.6|278  3  0.2  18  ne  2  3299304
204  3  0.21  20  e  1  3302772.6|279  1  0.21  18  ne  2  4060118.33333333
204  3  0.21  20  e  1  3302772.6|281  3  0.18  18  ne  2  4045040.66666667
204  3  0.21  20  e  1  3302772.6|287  2  0.21  26  ne  2  4053865.33333333
204  3  0.21  20  e  1  3302772.6|291  2  0.27  36  ne  2  4054566.33333333
204  3  0.21  20  e  1  3302772.6|292  1  0.18  8  ne  2  4059528.33333333
204  3  0.21  20  e  1  3302772.6|294  3  0.14  17  ne  2  4045363
204  3  0.21  20  e  1  3302772.6|296  2  0.19  22  ne  2  4057951.66666667
204  3  0.21  20  e  1  3302772.6|298  3  0.18  29  ne  2  3307172.6
204  3  0.21  20  e  1  3302772.6|300  3  0.1  11  ne  2  4040212.33333333
204  3  0.21  20  e  1  3302772.6|308  3  0.16  7  ne  2  3300775.2
204  3  0.21  20  e  1  3302772.6|314  3  0.15  17  ne  2  3304559.8
204  3  0.21  20  e  1  3302772.6|317  1  0.14  7  ne  2  4062790.33333333
204  3  0.21  20  e  1  3302772.6|326  2  0.36  15  ne  2  4061248
204  3  0.21  20  e  1  3302772.6|329  3  0.19  32  ne  2  3306564.4
204  3  0.21  20  e  1  3302772.6|330  3  0.33  8  ne  2  3304146.2
204  3  0.21  20  e  1  3302772.6|331  3  0.19  20  ne  2  3303247.2
204  3  0.21  20  e  1  3302772.6|332  2  0.36  25  ne  2  3312548.4
204  3  0.21  20  e  1  3302772.6|334  0  0.2  23  ne  2  4060292.66666667
204  3  0.21  20  e  1  3302772.6|335  3  0.26  33  ne  2  4043293
204  3  0.21  20  e  1  3302772.6|337  1  0.26  30  ne  2  4056407.33333333
204  3  0.21  20  e  1  3302772.6|338  3  0.05  20  ne  2  3303715.2
204  3  0.21  20  e  1  3302772.6|340  0  0.21  9  ne  2  4072132.33333333
204  3  0.21  20  e  1  3302772.6|341  2  0.15  27  ne  2  4065198.66666667
204  3  0.21  20  e  1  3302772.6|347  3  0.16  9  ne  2  3300973.2
204  3  0.21  20  e  1  3302772.6|348  2  0.08  20  ne  2  4060739.33333333
204  3  0.21  20  e  1  3302772.6|349  3  0.24  29  ne  2  3301461.4
204  3  0.21  20  e  1  3302772.6|350  3  0.18  34  ne  2  3304499.6
204  3  0.21  20  e  1  3302772.6|353  2  0.21  14  ne  2  4060582.33333333
204  3  0.21  20  e  1  3302772.6|354  2  0.25  20  ne  2  4059997
204  3  0.21  20  e  1  3302772.6|355  3  0.09  25  ne  2  3303910.2
204  3  0.21  20  e  1  3302772.6|358  0  0.21  16  ne  2  4062166.33333333
204  3  0.21  20  e  1  3302772.6|361  3  0.23  12  ne  2  4044073.33333333
204  3  0.21  20  e  1  3302772.6|362  2  0.18  14  ne  2  4055720
204  3  0.21  20  e  1  3302772.6|365  0  0.3  26  ne  2  4065334.33333333
204  3  0.21  20  e  1  3302772.6|366  0  0.18  20  ne  2  4059560.33333333
204  3  0.21  20  e  1  3302772.6|368  0  0.08  25  ne  2  4057201
204  3  0.21  20  e  1  3302772.6|369  2  0.28  21  ne  2  3315240.4
204  3  0.21  20  e  1  3302772.6|372  0  0.37  12  ne  2  4063772.66666667
204  3  0.21  20  e  1  3302772.6|375  3  0.2  19  ne  2  4043675
204  3  0.21  20  e  1  3302772.6|379  3  0.37  15  ne  2  3304152.4
204  3  0.21  20  e  1  3302772.6|382  1  0.31  17  ne  2  4057874.33333333
204  3  0.21  20  e  1  3302772.6|385  3  0.08  11  ne  2  3304893.4
204  3  0.21  20  e  1  3302772.6|387  1  0.21  26  ne  2  4054593
204  3  0.21  20  e  1  3302772.6|390  2  0.21  26  ne  2  4053865.33333333
204  3  0.21  20  e  1  3302772.6|393  1  0.36  24  ne  2  4062051.33333333
204  3  0.21  20  e  1  3302772.6|394  0  0.18  20  ne  2  4059896.33333333
204  3  0.21  20  e  1  3302772.6|401  2  0.09  22  ne  2  3315981.2
204  3  0.21  20  e  1  3302772.6|402  1  0.22  18  ne  2  3311359.2
204  3  0.21  20  e  1  3302772.6|404  3  0.18  18  ne  2  4045040.66666667
204  3  0.21  20  e  1  3302772.6|416  3  0.25  33  ne  2  3303601.2
204  3  0.21  20  e  1  3302772.6|422  2  0.11  15  ne  2  4056454.66666667
204  3  0.21  20  e  1  3302772.6|425  0  0.07  9  ne  2  4067092
204  3  0.21  20  e  1  3302772.6|428  3  0.25  21  ne  2  4042398.66666667
204  3  0.21  20  e  1  3302772.6|429  0  0.32  36  ne  2  3316227.8
204  3  0.21  20  e  1  3302772.6|431  3  0.05  9  ne  2  4047249.66666667
204  3  0.21  20  e  1  3302772.6|432  1  0.28  20  ne  2  4063604.66666667
204  3  0.21  20  e  1  3302772.6|438  0  0.23  15  ne  2  4055604.66666667
204  3  0.21  20  e  1  3302772.6|455  1  0.19  12  ne  2  4062011.33333333
204  3  0.21  20  e  1  3302772.6|456  3  0.11  14  ne  2  3299429.8
204  3  0.21  20  e  1  3302772.6|457  0  0.13  23  ne  2  3311716.8
204  3  0.21  20  e  1  3302772.6|458  3  0.3  12  ne  2  3302944.4
204  3  0.21  20  e  1  3302772.6|460  0  0.14  19  ne  2  4057567.33333333
204  3  0.21  20  e  1  3302772.6|461  1  0.37  26  ne  2  4057232.66666667
204  3  0.21  20  e  1  3302772.6|465  3  0.17  25  ne  2  3302838.8
261  3  0.21  6  e  1  3300600.8|280  0  0.28  5  ne  2  4072283.66666667
261  3  0.21  6  e  1  3300600.8|283  3  0.1  21  ne  2  3304520.8
261  3  0.21  6  e  1  3300600.8|297  3  0.06  14  ne  2  4039143.66666667
261  3  0.21  6  e  1  3300600.8|301  0  0.18  18  ne  2  3315736.2
261  3  0.21  6  e  1  3300600.8|305  2  0.16  7  ne  2  4057480.66666667
261  3  0.21  6  e  1  3300600.8|306  0  0.17  15  ne  2  4059301.66666667
261  3  0.21  6  e  1  3300600.8|310  2  0.2  12  ne  2  4056464.33333333
261  3  0.21  6  e  1  3300600.8|312  0  0.13  13  ne  2  4059969
261  3  0.21  6  e  1  3300600.8|313  0  0.3  5  ne  2  4064677.33333333
261  3  0.21  6  e  1  3300600.8|321  3  0.34  17  ne  2  3304036
261  3  0.21  6  e  1  3300600.8|323  3  0.27  6  ne  2  3301811.6
261  3  0.21  6  e  1  3300600.8|325  1  0.1  8  ne  2  4051431
261  3  0.21  6  e  1  3300600.8|327  1  0.02  10  ne  2  4057696.33333333
261  3  0.21  6  e  1  3300600.8|339  3  0.25  16  ne  2  3306144.2
261  3  0.21  6  e  1  3300600.8|357  3  0.17  5  ne  2  4044299.66666667
261  3  0.21  6  e  1  3300600.8|359  3  0.04  9  ne  2  3299996.2
261  3  0.21  6  e  1  3300600.8|360  0  0.09  6  ne  2  4062822
261  3  0.21  6  e  1  3300600.8|373  0  0.39  8  ne  2  4068208.33333333
261  3  0.21  6  e  1  3300600.8|376  2  0.43  8  ne  2  4052279
261  3  0.21  6  e  1  3300600.8|378  3  0.26  7  ne  2  3302632
261  3  0.21  6  e  1  3300600.8|380  3  0.28  6  ne  2  3303146.4
261  3  0.21  6  e  1  3300600.8|383  3  0.05  6  ne  2  3304464.8
261  3  0.21  6  e  1  3300600.8|399  3  0.23  9  ne  2  3302686.8
261  3  0.21  6  e  1  3300600.8|405  3  0.12  17  ne  2  3300558.8
261  3  0.21  6  e  1  3300600.8|409  3  0.08  13  ne  2  3302807
261  3  0.21  6  e  1  3300600.8|417  3  0.23  15  ne  2  3300125.6
261  3  0.21  6  e  1  3300600.8|418  1  0.09  10  ne  2  4058675
261  3  0.21  6  e  1  3300600.8|420  3  0.31  12  ne  2  4041491.33333333
261  3  0.21  6  e  1  3300600.8|423  2  0.22  5  ne  2  4053641.66666667
261  3  0.21  6  e  1  3300600.8|433  3  0.26  20  ne  2  3304104.8
261  3  0.21  6  e  1  3300600.8|435  3  0.13  6  ne  2  3304558.4
261  3  0.21  6  e  1  3300600.8|436  3  0.31  20  ne  2  3301152.4
261  3  0.21  6  e  1  3300600.8|441  2  0.16  10  ne  2  3315272.4
261  3  0.21  6  e  1  3300600.8|453  3  0.23  8  ne  2  3304017.2
261  3  0.21  6  e  1  3300600.8|462  0  0.35  19  ne  2  4058693.66666667
427  3  0.57  20  e  2  2821625.83333333|468  3  0.64  20  ne  3  455995.6
427  3  0.57  20  e  2  2821625.83333333|469  3  0.45  19  ne  3  2825564.5
427  3  0.57  20  e  2  2821625.83333333|472  3  0.51  19  ne  3  2826564.66666667
427  3  0.57  20  e  2  2821625.83333333|475  3  0.75  30  ne  3  3620172
427  3  0.57  20  e  2  2821625.83333333|478  3  0.42  23  ne  3  457187.6
427  3  0.57  20  e  2  2821625.83333333|480  2  0.48  24  ne  3  3636998
427  3  0.57  20  e  2  2821625.83333333|485  0  0.48  29  ne  3  456426.8
427  3  0.57  20  e  2  2821625.83333333|486  3  0.66  21  ne  3  2821686.5
427  3  0.57  20  e  2  2821625.83333333|487  2  0.55  17  ne  3  3637457.33333333
427  3  0.57  20  e  2  2821625.83333333|488  2  0.54  20  ne  3  3637591.77777778
427  3  0.57  20  e  2  2821625.83333333|495  1  0.66  17  ne  3  456720.4
427  3  0.57  20  e  2  2821625.83333333|496  3  0.52  28  ne  3  2825264.16666667
427  3  0.57  20  e  2  2821625.83333333|500  0  0.47  27  ne  3  3635244.22222222
427  3  0.57  20  e  2  2821625.83333333|501  3  0.64  24  ne  3  455062.4
427  3  0.57  20  e  2  2821625.83333333|502  0  0.68  21  ne  3  458330.4
427  3  0.57  20  e  2  2821625.83333333|503  3  0.52  10  ne  3  2822745.83333333
427  3  0.57  20  e  2  2821625.83333333|505  3  0.47  30  ne  3  456747.6
