.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
208  3  0.5717  8  e  1  5299958.4|281  0  0.59  17  ne  2  6095590.8
208  3  0.5717  8  e  1  5299958.4|282  1  0.5656  8  ne  2  6097005.2
208  3  0.5717  8  e  1  5299958.4|283  3  0.5379  16  ne  2  5302683.8
208  3  0.5717  8  e  1  5299958.4|285  1  0.4559  16  ne  2  6103456
208  3  0.5717  8  e  1  5299958.4|286  1  0.6118  18  ne  2  6097510
208  3  0.5717  8  e  1  5299958.4|289  3  0.5522  13  ne  2  5302956.6
208  3  0.5717  8  e  1  5299958.4|291  0  0.6216  16  ne  2  6110836.8
208  3  0.5717  8  e  1  5299958.4|292  3  0.5676  19  ne  2  5308627.4
208  3  0.5717  8  e  1  5299958.4|295  3  0.4454  6  ne  2  5301689.6
208  3  0.5717  8  e  1  5299958.4|301  3  0.5006  7  ne  2  5299217
208  3  0.5717  8  e  1  5299958.4|302  3  0.5813  25  ne  2  5303888
208  3  0.5717  8  e  1  5299958.4|303  3  0.6341  5  ne  2  5303340.6
208  3  0.5717  8  e  1  5299958.4|307  3  0.5041  7  ne  2  5302105
208  3  0.5717  8  e  1  5299958.4|310  0  0.6929  9  ne  2  6127931.6
208  3  0.5717  8  e  1  5299958.4|311  2  0.4975  7  ne  2  6089125.2
208  3  0.5717  8  e  1  5299958.4|312  3  0.432  12  ne  2  5302905
208  3  0.5717  8  e  1  5299958.4|316  1  0.648  11  ne  2  6101154.4
208  3  0.5717  8  e  1  5299958.4|317  3  0.6095  5  ne  2  5303440.4
208  3  0.5717  8  e  1  5299958.4|318  2  0.6841  17  ne  2  6112338.8
208  3  0.5717  8  e  1  5299958.4|319  3  0.6151  7  ne  2  5303250.4
208  3  0.5717  8  e  1  5299958.4|321  2  0.4809  11  ne  2  6093153.2
208  3  0.5717  8  e  1  5299958.4|323  3  0.4769  8  ne  2  5301601
208  3  0.5717  8  e  1  5299958.4|324  3  0.4043  8  ne  2  5297866.8
208  3  0.5717  8  e  1  5299958.4|327  3  0.5048  18  ne  2  5305547.2
208  3  0.5717  8  e  1  5299958.4|329  3  0.4878  9  ne  2  5306727.2
208  3  0.5717  8  e  1  5299958.4|330  0  0.5918  14  ne  2  6115198.8
208  3  0.5717  8  e  1  5299958.4|334  3  0.5776  7  ne  2  5299113.2
208  3  0.5717  8  e  1  5299958.4|335  1  0.4977  14  ne  2  6099656.4
208  3  0.5717  8  e  1  5299958.4|336  0  0.523  6  ne  2  6103432.4
208  3  0.5717  8  e  1  5299958.4|339  3  0.553  17  ne  2  5305648.8
