.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
110  3  0.6115  6  e  1  3069907.25|278  3  0.5902  10  ne  2  3071864.25
110  3  0.6115  6  e  1  3069907.25|279  0  0.587  11  ne  2  4666438
110  3  0.6115  6  e  1  3069907.25|280  3  0.6157  13  ne  2  3067151.75
110  3  0.6115  6  e  1  3069907.25|282  3  0.5334  6  ne  2  3073361
110  3  0.6115  6  e  1  3069907.25|283  3  0.6726  11  ne  2  3065045.5
110  3  0.6115  6  e  1  3069907.25|284  0  0.5899  9  ne  2  4650459.6
110  3  0.6115  6  e  1  3069907.25|285  0  0.5162  22  ne  2  4655748.4
110  3  0.6115  6  e  1  3069907.25|296  3  0.5818  5  ne  2  3070422.75
110  3  0.6115  6  e  1  3069907.25|297  2  0.6172  5  ne  2  4652298.8
110  3  0.6115  6  e  1  3069907.25|298  0  0.5918  10  ne  2  4653988.4
110  3  0.6115  6  e  1  3069907.25|299  3  0.5247  17  ne  2  3070973.75
110  3  0.6115  6  e  1  3069907.25|300  2  0.4989  14  ne  2  3084437.5
110  3  0.6115  6  e  1  3069907.25|302  3  0.7023  8  ne  2  3070429.25
110  3  0.6115  6  e  1  3069907.25|305  3  0.7057  17  ne  2  3073767
110  3  0.6115  6  e  1  3069907.25|307  3  0.6364  6  ne  2  3070104
110  3  0.6115  6  e  1  3069907.25|309  3  0.725  15  ne  2  3073785.75
110  3  0.6115  6  e  1  3069907.25|310  0  0.6028  16  ne  2  4665636
110  3  0.6115  6  e  1  3069907.25|311  3  0.7139  6  ne  2  3068352
110  3  0.6115  6  e  1  3069907.25|314  3  0.6499  6  ne  2  3068250.5
110  3  0.6115  6  e  1  3069907.25|318  0  0.645  14  ne  2  4645316.8
110  3  0.6115  6  e  1  3069907.25|321  3  0.6923  16  ne  2  3070727.25
110  3  0.6115  6  e  1  3069907.25|322  1  0.5546  7  ne  2  4644532.8
110  3  0.6115  6  e  1  3069907.25|325  3  0.6517  7  ne  2  3072255.5
110  3  0.6115  6  e  1  3069907.25|326  3  0.6739  7  ne  2  4623360.4
110  3  0.6115  6  e  1  3069907.25|327  3  0.7628  16  ne  2  3074276
110  3  0.6115  6  e  1  3069907.25|328  3  0.746  6  ne  2  4625865.2
110  3  0.6115  6  e  1  3069907.25|329  3  0.6445  5  ne  2  3067769.25
110  3  0.6115  6  e  1  3069907.25|330  3  0.6582  10  ne  2  3066918.5
110  3  0.6115  6  e  1  3069907.25|331  1  0.7261  10  ne  2  4660931.6
110  3  0.6115  6  e  1  3069907.25|333  1  0.6644  11  ne  2  4649472.8
110  3  0.6115  6  e  1  3069907.25|334  0  0.6375  9  ne  2  4647496.8
110  3  0.6115  6  e  1  3069907.25|338  1  0.5635  18  ne  2  4661802.8
110  3  0.6115  6  e  1  3069907.25|339  3  0.666  7  ne  2  3069724.75
110  3  0.6115  6  e  1  3069907.25|341  1  0.4784  13  ne  2  4656332
110  3  0.6115  6  e  1  3069907.25|342  3  0.8372  17  ne  2  3078646.25
110  3  0.6115  6  e  1  3069907.25|347  3  0.5581  8  ne  2  3069944.25
110  3  0.6115  6  e  1  3069907.25|348  3  0.6265  6  ne  2  3071662.75
110  3  0.6115  6  e  1  3069907.25|349  0  0.5989  11  ne  2  4655096.8
110  3  0.6115  6  e  1  3069907.25|350  3  0.619  14  ne  2  3069212.25
110  3  0.6115  6  e  1  3069907.25|351  0  0.5293  11  ne  2  4659163.2
110  3  0.6115  6  e  1  3069907.25|353  2  0.6691  9  ne  2  4653644.8
110  3  0.6115  6  e  1  3069907.25|356  2  0.7382  10  ne  2  4657076.8
110  3  0.6115  6  e  1  3069907.25|357  3  0.5702  6  ne  2  3074318.75
110  3  0.6115  6  e  1  3069907.25|358  2  0.5255  6  ne  2  4645506
110  3  0.6115  6  e  1  3069907.25|359  3  0.5599  5  ne  2  3067891
110  3  0.6115  6  e  1  3069907.25|367  0  0.5304  23  ne  2  3086971
110  3  0.6115  6  e  1  3069907.25|368  0  0.5224  17  ne  2  4656792.8
110  3  0.6115  6  e  1  3069907.25|370  3  0.5405  19  ne  2  3066537
110  3  0.6115  6  e  1  3069907.25|372  2  0.5513  7  ne  2  3086663.25
110  3  0.6115  6  e  1  3069907.25|374  2  0.7213  26  ne  2  4649836
110  3  0.6115  6  e  1  3069907.25|376  1  0.6027  9  ne  2  4656937.2
110  3  0.6115  6  e  1  3069907.25|378  2  0.4143  12  ne  2  4637514
110  3  0.6115  6  e  1  3069907.25|379  2  0.6445  17  ne  2  3086562.5
110  3  0.6115  6  e  1  3069907.25|380  2  0.5717  26  ne  2  4644098.4
110  3  0.6115  6  e  1  3069907.25|382  2  0.6961  12  ne  2  4646918.8
110  3  0.6115  6  e  1  3069907.25|387  3  0.7051  11  ne  2  3069297.5
110  3  0.6115  6  e  1  3069907.25|389  3  0.6498  13  ne  2  3072281.25
110  3  0.6115  6  e  1  3069907.25|390  3  0.5357  6  ne  2  3069876
110  3  0.6115  6  e  1  3069907.25|391  3  0.6404  8  ne  2  3068821
110  3  0.6115  6  e  1  3069907.25|392  1  0.6241  21  ne  2  4646403.2
110  3  0.6115  6  e  1  3069907.25|393  3  0.5293  20  ne  2  3069864.25
110  3  0.6115  6  e  1  3069907.25|394  0  0.4831  8  ne  2  4651526
110  3  0.6115  6  e  1  3069907.25|402  1  0.6414  18  ne  2  4643486.8
110  3  0.6115  6  e  1  3069907.25|403  3  0.6627  7  ne  2  3069634
110  3  0.6115  6  e  1  3069907.25|404  2  0.5973  8  ne  2  4650428.4
110  3  0.6115  6  e  1  3069907.25|405  3  0.5922  10  ne  2  3071117.25
110  3  0.6115  6  e  1  3069907.25|408  1  0.635  21  ne  2  4669687.2
110  3  0.6115  6  e  1  3069907.25|413  3  0.6251  10  ne  2  3068571.5
110  3  0.6115  6  e  1  3069907.25|414  3  0.4963  8  ne  2  3072052.5
110  3  0.6115  6  e  1  3069907.25|415  3  0.5629  20  ne  2  3070887
110  3  0.6115  6  e  1  3069907.25|416  1  0.6511  11  ne  2  4656794.8
110  3  0.6115  6  e  1  3069907.25|417  3  0.6317  8  ne  2  3070999.5
110  3  0.6115  6  e  1  3069907.25|419  3  0.6857  7  ne  2  4628272.4
110  3  0.6115  6  e  1  3069907.25|422  3  0.5378  5  ne  2  3070490.75
110  3  0.6115  6  e  1  3069907.25|424  0  0.6217  8  ne  2  4659578
110  3  0.6115  6  e  1  3069907.25|426  2  0.6672  16  ne  2  4644071.2
110  3  0.6115  6  e  1  3069907.25|431  2  0.6334  5  ne  2  4648085.2
110  3  0.6115  6  e  1  3069907.25|438  3  0.7176  9  ne  2  3073285.5
110  3  0.6115  6  e  1  3069907.25|439  3  0.4744  17  ne  2  3070908.5
110  3  0.6115  6  e  1  3069907.25|440  3  0.6357  5  ne  2  3069229.75
110  3  0.6115  6  e  1  3069907.25|441  1  0.7324  7  ne  2  4659798.8
110  3  0.6115  6  e  1  3069907.25|445  0  0.5616  7  ne  2  4662851.6
110  3  0.6115  6  e  1  3069907.25|446  3  0.5754  19  ne  2  3069010.5
110  3  0.6115  6  e  1  3069907.25|450  3  0.5198  8  ne  2  3068960.5
110  3  0.6115  6  e  1  3069907.25|452  3  0.6454  10  ne  2  3072004.75
110  3  0.6115  6  e  1  3069907.25|453  0  0.5353  14  ne  2  4651177.6
110  3  0.6115  6  e  1  3069907.25|454  2  0.5075  15  ne  2  3082307
110  3  0.6115  6  e  1  3069907.25|457  3  0.5288  5  ne  2  3070320.25
110  3  0.6115  6  e  1  3069907.25|458  1  0.6173  11  ne  2  4664494.8
110  3  0.6115  6  e  1  3069907.25|459  2  0.6247  5  ne  2  3083337
110  3  0.6115  6  e  1  3069907.25|460  3  0.6134  7  ne  2  3067127.75
110  3  0.6115  6  e  1  3069907.25|461  0  0.7067  7  ne  2  4662174
110  3  0.6115  6  e  1  3069907.25|466  3  0.7042  12  ne  2  3074942
110  3  0.6115  6  e  1  3069907.25|468  3  0.6307  8  ne  2  3070044.25
110  3  0.6115  6  e  1  3069907.25|470  1  0.7048  11  ne  2  4663092.4
110  3  0.6115  6  e  1  3069907.25|471  0  0.7217  23  ne  2  4659817.6
110  3  0.6115  6  e  1  3069907.25|472  0  0.6432  20  ne  2  4653635.6
110  3  0.6115  6  e  1  3069907.25|473  1  0.7298  12  ne  2  4648802
110  3  0.6115  6  e  1  3069907.25|477  0  0.4676  14  ne  2  4654522.4
110  3  0.6115  6  e  1  3069907.25|478  3  0.5596  7  ne  2  3069293.75
110  3  0.6115  6  e  1  3069907.25|479  3  0.6113  5  ne  2  3065074.25
110  3  0.6115  6  e  1  3069907.25|482  3  0.5443  8  ne  2  3068974.25
110  3  0.6115  6  e  1  3069907.25|483  1  0.6544  14  ne  2  4652647.6
110  3  0.6115  6  e  1  3069907.25|485  1  0.5421  6  ne  2  4641048
110  3  0.6115  6  e  1  3069907.25|486  1  0.649  12  ne  2  4648394.4
110  3  0.6115  6  e  1  3069907.25|487  3  0.5955  17  ne  2  3073016.75
110  3  0.6115  6  e  1  3069907.25|490  2  0.8637  13  ne  2  4658951.2
110  3  0.6115  6  e  1  3069907.25|492  3  0.4387  11  ne  2  3070733.25
110  3  0.6115  6  e  1  3069907.25|493  1  0.6513  11  ne  2  4660139.6
110  3  0.6115  6  e  1  3069907.25|494  2  0.6472  14  ne  2  4649050.4
110  3  0.6115  6  e  1  3069907.25|495  3  0.5155  7  ne  2  3072194.25
110  3  0.6115  6  e  1  3069907.25|496  3  0.7064  11  ne  2  3075435.25
110  3  0.6115  6  e  1  3069907.25|499  1  0.561  17  ne  2  4658140.8
110  3  0.6115  6  e  1  3069907.25|500  1  0.5779  6  ne  2  4649479.6
110  3  0.6115  6  e  1  3069907.25|501  3  0.5658  18  ne  2  3070305.5
110  3  0.6115  6  e  1  3069907.25|508  3  0.6532  22  ne  2  3071211.5
110  3  0.6115  6  e  1  3069907.25|510  2  0.6889  6  ne  2  4656976.4
110  3  0.6115  6  e  1  3069907.25|511  3  0.7197  14  ne  2  3065434.75
110  3  0.6115  6  e  1  3069907.25|512  0  0.6979  7  ne  2  4653252
110  3  0.6115  6  e  1  3069907.25|515  1  0.8132  12  ne  2  4660927.6
110  3  0.6115  6  e  1  3069907.25|518  3  0.625  8  ne  2  3068344.75
110  3  0.6115  6  e  1  3069907.25|522  2  0.6088  8  ne  2  4654656.8
42  3  0.1464  30  e  1  3070055.25|281  1  0.084  19  ne  2  3079232
42  3  0.1464  30  e  1  3070055.25|287  3  0.0584  18  ne  2  3066686.25
42  3  0.1464  30  e  1  3070055.25|288  3  0.2923  43  ne  2  4626577.6
42  3  0.1464  30  e  1  3070055.25|289  3  0.065  46  ne  2  3071586
42  3  0.1464  30  e  1  3070055.25|292  3  0.0844  28  ne  2  3072032
42  3  0.1464  30  e  1  3070055.25|293  3  0.1604  28  ne  2  3072732.5
42  3  0.1464  30  e  1  3070055.25|295  3  0.2067  38  ne  2  3072363
42  3  0.1464  30  e  1  3070055.25|301  1  0.2153  19  ne  2  3082129.75
