.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
47  3  0.13  34  e  1  5720549.5|278  3  0.21  31  ne  2  6070289.6
47  3  0.13  34  e  1  5720549.5|279  3  0.09  19  ne  2  5722781.66666667
47  3  0.13  34  e  1  5720549.5|280  2  0.15  28  ne  2  4697876.8
47  3  0.13  34  e  1  5720549.5|283  3  0.12  34  ne  2  5721026
47  3  0.13  34  e  1  5720549.5|284  1  0.11  40  ne  2  4701824
47  3  0.13  34  e  1  5720549.5|285  0  0.17  51  ne  2  4699753.2
47  3  0.13  34  e  1  5720549.5|288  2  0.04  39  ne  2  4699080.8
47  3  0.13  34  e  1  5720549.5|290  3  0.16  26  ne  2  5719810.33333333
47  3  0.13  34  e  1  5720549.5|292  1  0.14  39  ne  2  4702784.4
47  3  0.13  34  e  1  5720549.5|295  2  0.24  40  ne  2  4706588.8
47  3  0.13  34  e  1  5720549.5|303  3  0.02  37  ne  2  5723395.83333333
47  3  0.13  34  e  1  5720549.5|305  3  0.22  32  ne  2  5723885.16666667
47  3  0.13  34  e  1  5720549.5|307  3  0.09  31  ne  2  5721230.5
47  3  0.13  34  e  1  5720549.5|311  0  0.3  26  ne  2  4704001.2
47  3  0.13  34  e  1  5720549.5|313  1  0.09  40  ne  2  4706088.4
47  3  0.13  34  e  1  5720549.5|314  2  0.24  21  ne  2  4703127.2
47  3  0.13  34  e  1  5720549.5|315  3  0.16  17  ne  2  6068649.8
47  3  0.13  34  e  1  5720549.5|319  1  0.27  44  ne  2  4697078.8
47  3  0.13  34  e  1  5720549.5|320  3  0.24  33  ne  2  6069576.6
47  3  0.13  34  e  1  5720549.5|321  3  0.2  37  ne  2  5721560.66666667
47  3  0.13  34  e  1  5720549.5|322  1  0.12  42  ne  2  4707352
47  3  0.13  34  e  1  5720549.5|324  2  0.22  28  ne  2  4705004.4
47  3  0.13  34  e  1  5720549.5|325  0  0.15  31  ne  2  4703821.6
47  3  0.13  34  e  1  5720549.5|326  3  0.03  34  ne  2  5723393.5
47  3  0.13  34  e  1  5720549.5|327  0  0.18  28  ne  2  4699541.6
47  3  0.13  34  e  1  5720549.5|328  2  0.26  44  ne  2  4702955.6
47  3  0.13  34  e  1  5720549.5|329  3  0.03  45  ne  2  5721874
47  3  0.13  34  e  1  5720549.5|331  3  0.26  28  ne  2  4680480
47  3  0.13  34  e  1  5720549.5|332  2  0.22  27  ne  2  4692970.4
47  3  0.13  34  e  1  5720549.5|333  1  0.1  28  ne  2  4704344.8
47  3  0.13  34  e  1  5720549.5|334  3  0.17  28  ne  2  4679944.8
47  3  0.13  34  e  1  5720549.5|336  1  0.24  39  ne  2  4691263.6
47  3  0.13  34  e  1  5720549.5|337  2  0.12  55  ne  2  4698565.2
47  3  0.13  34  e  1  5720549.5|339  0  0.01  43  ne  2  4710213.6
47  3  0.13  34  e  1  5720549.5|343  3  0.09  28  ne  2  5724348.16666667
47  3  0.13  34  e  1  5720549.5|344  3  0.13  46  ne  2  5724596.83333333
47  3  0.13  34  e  1  5720549.5|347  0  0.17  33  ne  2  6091409.6
47  3  0.13  34  e  1  5720549.5|349  3  0.15  23  ne  2  5722109.33333333
47  3  0.13  34  e  1  5720549.5|351  3  0.18  38  ne  2  4677490.4
47  3  0.13  34  e  1  5720549.5|353  2  0.09  29  ne  2  4703373.6
47  3  0.13  34  e  1  5720549.5|354  3  0.1  33  ne  2  6067488
47  3  0.13  34  e  1  5720549.5|355  3  0.18  30  ne  2  6067354.2
47  3  0.13  34  e  1  5720549.5|356  3  0.15  27  ne  2  6067245
47  3  0.13  34  e  1  5720549.5|358  1  0.18  44  ne  2  4703027.6
47  3  0.13  34  e  1  5720549.5|362  0  0.07  26  ne  2  4702728.4
47  3  0.13  34  e  1  5720549.5|364  2  0.1  42  ne  2  4696778.8
47  3  0.13  34  e  1  5720549.5|368  1  0.17  55  ne  2  4695916.8
47  3  0.13  34  e  1  5720549.5|369  2  0.14  40  ne  2  4695460
47  3  0.13  34  e  1  5720549.5|371  0  0.12  33  ne  2  4703220.8
47  3  0.13  34  e  1  5720549.5|377  3  0.18  40  ne  2  6069573.8
47  3  0.13  34  e  1  5720549.5|378  3  0.09  29  ne  2  6069195.2
47  3  0.13  34  e  1  5720549.5|379  3  0.18  39  ne  2  5721600.66666667
47  3  0.13  34  e  1  5720549.5|380  0  0.17  35  ne  2  4699079.6
47  3  0.13  34  e  1  5720549.5|381  1  0.18  42  ne  2  4695321.2
47  3  0.13  34  e  1  5720549.5|382  0  0.25  5  ne  2  4712955.6
47  3  0.13  34  e  1  5720549.5|384  2  0.22  34  ne  2  4706016.8
47  3  0.13  34  e  1  5720549.5|385  1  0.2  51  ne  2  4700334
47  3  0.13  34  e  1  5720549.5|386  3  0.29  36  ne  2  5721440
47  3  0.13  34  e  1  5720549.5|387  3  0.09  37  ne  2  6071037.2
47  3  0.13  34  e  1  5720549.5|391  3  0.07  37  ne  2  6068954.2
47  3  0.13  34  e  1  5720549.5|393  1  0.25  21  ne  2  4702566.4
47  3  0.13  34  e  1  5720549.5|394  2  0.14  34  ne  2  4699022.4
47  3  0.13  34  e  1  5720549.5|395  2  0.06  23  ne  2  4695231.6
47  3  0.13  34  e  1  5720549.5|399  2  0.05  28  ne  2  4698850.8
47  3  0.13  34  e  1  5720549.5|400  3  0.14  41  ne  2  5722784.16666667
47  3  0.13  34  e  1  5720549.5|401  1  0.2  25  ne  2  4697802
47  3  0.13  34  e  1  5720549.5|403  1  0.09  28  ne  2  4697174.8
47  3  0.13  34  e  1  5720549.5|404  2  0.14  17  ne  2  4704507.2
47  3  0.13  34  e  1  5720549.5|405  3  0.02  35  ne  2  6068571.8
47  3  0.13  34  e  1  5720549.5|410  3  0.07  33  ne  2  6068834
47  3  0.13  34  e  1  5720549.5|414  3  0.13  26  ne  2  6072815.8
47  3  0.13  34  e  1  5720549.5|415  0  0.01  37  ne  2  4704575.2
47  3  0.13  34  e  1  5720549.5|420  3  0.11  36  ne  2  4681080.8
47  3  0.13  34  e  1  5720549.5|421  2  0.14  18  ne  2  4700258
47  3  0.13  34  e  1  5720549.5|424  3  0.12  16  ne  2  5719696.83333333
47  3  0.13  34  e  1  5720549.5|427  0  0.12  38  ne  2  4703434
47  3  0.13  34  e  1  5720549.5|428  3  0.12  16  ne  2  5719692.16666667
47  3  0.13  34  e  1  5720549.5|431  2  0.27  42  ne  2  4698116.4
47  3  0.13  34  e  1  5720549.5|432  2  0.1  17  ne  2  4700010
47  3  0.13  34  e  1  5720549.5|433  3  0.02  45  ne  2  4681098.8
47  3  0.13  34  e  1  5720549.5|442  2  0.1  42  ne  2  4699378.4
47  3  0.13  34  e  1  5720549.5|444  3  0.17  24  ne  2  5718979.83333333
47  3  0.13  34  e  1  5720549.5|445  1  0.09  37  ne  2  4696676
47  3  0.13  34  e  1  5720549.5|446  3  0.17  61  ne  2  5721619.16666667
47  3  0.13  34  e  1  5720549.5|448  3  0.18  34  ne  2  5721144.83333333
47  3  0.13  34  e  1  5720549.5|453  3  0.2  30  ne  2  5721538
47  3  0.13  34  e  1  5720549.5|456  1  0.08  32  ne  2  4701486.4
47  3  0.13  34  e  1  5720549.5|457  1  0.21  43  ne  2  4703889.6
47  3  0.13  34  e  1  5720549.5|459  1  0.11  47  ne  2  4705783.2
47  3  0.13  34  e  1  5720549.5|461  3  0.19  44  ne  2  5721497.66666667
47  3  0.13  34  e  1  5720549.5|463  3  0.25  23  ne  2  6066036.2
47  3  0.13  34  e  1  5720549.5|464  3  0.23  21  ne  2  5716531.66666667
47  3  0.13  34  e  1  5720549.5|466  3  0.18  29  ne  2  4678329.6
47  3  0.13  34  e  1  5720549.5|468  3  0.2  37  ne  2  5721857.33333333
185  3  0.2  34  e  1  5720770.5|291  1  0.19  29  ne  2  4697684
185  3  0.2  34  e  1  5720770.5|298  3  0.17  22  ne  2  5721162
185  3  0.2  34  e  1  5720770.5|299  3  0.02  41  ne  2  6066709
185  3  0.2  34  e  1  5720770.5|302  3  0.21  33  ne  2  6068537.6
185  3  0.2  34  e  1  5720770.5|308  2  0.12  20  ne  2  4692403.2
185  3  0.2  34  e  1  5720770.5|309  0  0.12  43  ne  2  4701061.2
185  3  0.2  34  e  1  5720770.5|312  1  0.02  39  ne  2  4706049.2
185  3  0.2  34  e  1  5720770.5|316  3  0.25  42  ne  2  5721842.83333333
185  3  0.2  34  e  1  5720770.5|317  0  0.15  36  ne  2  4693309.2
185  3  0.2  34  e  1  5720770.5|335  3  0.11  40  ne  2  4682378.8
185  3  0.2  34  e  1  5720770.5|338  0  0.21  24  ne  2  4704969.2
185  3  0.2  34  e  1  5720770.5|341  3  0.14  26  ne  2  5724848.5
185  3  0.2  34  e  1  5720770.5|342  1  0.26  38  ne  2  4689918
185  3  0.2  34  e  1  5720770.5|345  3  0.14  35  ne  2  6068198.6
185  3  0.2  34  e  1  5720770.5|346  2  0.08  20  ne  2  4693335.6
185  3  0.2  34  e  1  5720770.5|357  0  0.04  40  ne  2  4701526
185  3  0.2  34  e  1  5720770.5|359  3  0.24  41  ne  2  6070470.4
185  3  0.2  34  e  1  5720770.5|360  3  0.14  29  ne  2  5723284.66666667
185  3  0.2  34  e  1  5720770.5|361  3  0.17  46  ne  2  6068650
185  3  0.2  34  e  1  5720770.5|365  0  0.2  46  ne  2  4704162.8
185  3  0.2  34  e  1  5720770.5|366  2  0.33  34  ne  2  4701454.4
185  3  0.2  34  e  1  5720770.5|367  1  0.31  22  ne  2  4707436
185  3  0.2  34  e  1  5720770.5|372  1  0.29  33  ne  2  4704810
185  3  0.2  34  e  1  5720770.5|373  3  0.23  27  ne  2  5721922.5
185  3  0.2  34  e  1  5720770.5|375  3  0.39  29  ne  2  6068802.4
185  3  0.2  34  e  1  5720770.5|376  2  0.28  47  ne  2  4698984.8
185  3  0.2  34  e  1  5720770.5|383  3  0.23  31  ne  2  6066203
185  3  0.2  34  e  1  5720770.5|388  3  0.24  40  ne  2  6071698.4
185  3  0.2  34  e  1  5720770.5|389  3  0.27  33  ne  2  5719080.66666667
185  3  0.2  34  e  1  5720770.5|390  3  0.28  30  ne  2  6070332.6
185  3  0.2  34  e  1  5720770.5|392  0  0.17  37  ne  2  4701514.4
185  3  0.2  34  e  1  5720770.5|396  3  0.15  28  ne  2  6068758
185  3  0.2  34  e  1  5720770.5|398  3  0.16  41  ne  2  5719747.5
185  3  0.2  34  e  1  5720770.5|406  2  0.1  36  ne  2  4704082.4
185  3  0.2  34  e  1  5720770.5|407  3  0.42  20  ne  2  5717745.5
185  3  0.2  34  e  1  5720770.5|408  3  0.29  44  ne  2  5722932.66666667
185  3  0.2  34  e  1  5720770.5|409  3  0.17  37  ne  2  5721077.5
185  3  0.2  34  e  1  5720770.5|411  1  0.36  30  ne  2  4704817.2
185  3  0.2  34  e  1  5720770.5|413  3  0.1  29  ne  2  5721909.83333333
185  3  0.2  34  e  1  5720770.5|416  2  0.11  43  ne  2  4700891.6
185  3  0.2  34  e  1  5720770.5|423  1  0.14  42  ne  2  4698776.8
185  3  0.2  34  e  1  5720770.5|425  0  0.24  30  ne  2  4700835.6
185  3  0.2  34  e  1  5720770.5|426  3  0.11  53  ne  2  4683573.2
185  3  0.2  34  e  1  5720770.5|429  2  0.2  32  ne  2  4698370
185  3  0.2  34  e  1  5720770.5|435  3  0.29  39  ne  2  4681464
185  3  0.2  34  e  1  5720770.5|436  0  0.31  27  ne  2  4693134.4
185  3  0.2  34  e  1  5720770.5|439  2  0.19  24  ne  2  4706186
185  3  0.2  34  e  1  5720770.5|440  2  0.11  26  ne  2  4706445.6
185  3  0.2  34  e  1  5720770.5|443  1  0.21  36  ne  2  4703304.8
185  3  0.2  34  e  1  5720770.5|447  3  0.34  25  ne  2  5723733.5
185  3  0.2  34  e  1  5720770.5|450  2  0.23  22  ne  2  4701435.2
185  3  0.2  34  e  1  5720770.5|452  2  0.23  32  ne  2  4699682.4
185  3  0.2  34  e  1  5720770.5|460  0  0.22  24  ne  2  4697184.4
185  3  0.2  34  e  1  5720770.5|462  3  0.03  36  ne  2  5724734.66666667
185  3  0.2  34  e  1  5720770.5|467  3  0.13  40  ne  2  6071403
267  3  0.18  41  e  1  5720941|281  0  0.17  56  ne  2  4705143.2
267  3  0.18  41  e  1  5720941|282  0  0.33  48  ne  2  4700236.8
267  3  0.18  41  e  1  5720941|286  0  0.3  33  ne  2  4703738.8
267  3  0.18  41  e  1  5720941|287  2  0.07  43  ne  2  4704092.8
267  3  0.18  41  e  1  5720941|289  3  0.26  37  ne  2  5724049.33333333
267  3  0.18  41  e  1  5720941|293  1  0.03  43  ne  2  4703758.8
267  3  0.18  41  e  1  5720941|294  3  0.04  52  ne  2  4679541.2
267  3  0.18  41  e  1  5720941|296  1  0.31  37  ne  2  4685613.6
267  3  0.18  41  e  1  5720941|297  3  0.12  37  ne  2  6068654
267  3  0.18  41  e  1  5720941|300  3  0.29  57  ne  2  6069223
267  3  0.18  41  e  1  5720941|301  1  0.15  49  ne  2  4699247.2
267  3  0.18  41  e  1  5720941|304  3  0.2  38  ne  2  4684316.8
267  3  0.18  41  e  1  5720941|306  2  0.16  31  ne  2  4704621.2
267  3  0.18  41  e  1  5720941|310  1  0.06  46  ne  2  4702046
267  3  0.18  41  e  1  5720941|318  2  0.17  44  ne  2  4696639.2
267  3  0.18  41  e  1  5720941|323  3  0.23  26  ne  2  5720020.83333333
267  3  0.18  41  e  1  5720941|330  3  0.17  37  ne  2  5721077.5
267  3  0.18  41  e  1  5720941|340  3  0.18  28  ne  2  6069066
267  3  0.18  41  e  1  5720941|348  1  0.19  42  ne  2  4704569.2
267  3  0.18  41  e  1  5720941|350  3  0.07  44  ne  2  6072591.2
267  3  0.18  41  e  1  5720941|352  3  0.25  49  ne  2  6072628.8
267  3  0.18  41  e  1  5720941|363  0  0.18  50  ne  2  4697153.6
267  3  0.18  41  e  1  5720941|370  0  0.12  40  ne  2  4700081.2
267  3  0.18  41  e  1  5720941|374  3  0.12  37  ne  2  6068348.2
267  3  0.18  41  e  1  5720941|397  3  0.23  54  ne  2  6069465.4
267  3  0.18  41  e  1  5720941|402  3  0.16  42  ne  2  5720780.66666667
267  3  0.18  41  e  1  5720941|412  3  0.17  38  ne  2  6073127.6
267  3  0.18  41  e  1  5720941|417  3  0.06  28  ne  2  4678146.4
267  3  0.18  41  e  1  5720941|418  1  0.18  49  ne  2  4700230.4
267  3  0.18  41  e  1  5720941|419  2  0.03  46  ne  2  4701459.6
267  3  0.18  41  e  1  5720941|422  3  0.15  42  ne  2  6067764.8
267  3  0.18  41  e  1  5720941|430  3  0.16  52  ne  2  6072089.4
267  3  0.18  41  e  1  5720941|434  0  0.25  45  ne  2  4703819.2
267  3  0.18  41  e  1  5720941|437  2  0.06  49  ne  2  4697570.8
267  3  0.18  41  e  1  5720941|438  2  0.19  47  ne  2  4690556.4
267  3  0.18  41  e  1  5720941|441  3  0.16  38  ne  2  6070520.4
267  3  0.18  41  e  1  5720941|449  2  0.22  41  ne  2  4697833.6
267  3  0.18  41  e  1  5720941|451  3  0.13  36  ne  2  5723470.16666667
267  3  0.18  41  e  1  5720941|454  2  0.13  40  ne  2  4695491.6
267  3  0.18  41  e  1  5720941|455  1  0.17  49  ne  2  4706870.8
267  3  0.18  41  e  1  5720941|458  1  0.19  44  ne  2  4698873.2
267  3  0.18  41  e  1  5720941|465  0  0.13  54  ne  2  4697455.6
464  3  0.23  21  e  2  4968093.14285714|471  3  0.19  20  ne  3  4972647.42857143
464  3  0.23  21  e  2  4968093.14285714|474  3  0.23  22  ne  3  4493469.14285714
464  3  0.23  21  e  2  4968093.14285714|477  3  0.22  19  ne  3  4494045.42857143
