.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
27  3  0.65  14  e  1  2767253.77777778|280  1  0.74  9  ne  2  3267557.6
27  3  0.65  14  e  1  2767253.77777778|282  0  0.81  17  ne  2  3260527.6
27  3  0.65  14  e  1  2767253.77777778|283  2  0.73  22  ne  2  3262948.4
27  3  0.65  14  e  1  2767253.77777778|284  1  0.64  7  ne  2  3263603.2
27  3  0.65  14  e  1  2767253.77777778|286  1  0.74  24  ne  2  3269523.6
27  3  0.65  14  e  1  2767253.77777778|287  2  0.85  6  ne  2  3272147.2
27  3  0.65  14  e  1  2767253.77777778|288  0  0.65  12  ne  2  3264702
27  3  0.65  14  e  1  2767253.77777778|290  2  0.77  25  ne  2  3265416.4
27  3  0.65  14  e  1  2767253.77777778|291  3  0.67  22  ne  2  2769864.44444444
27  3  0.65  14  e  1  2767253.77777778|292  3  0.52  40  ne  2  2772787.33333333
27  3  0.65  14  e  1  2767253.77777778|295  1  0.69  19  ne  2  3256476.4
27  3  0.65  14  e  1  2767253.77777778|296  2  0.69  10  ne  2  2786360
27  3  0.65  14  e  1  2767253.77777778|298  1  0.66  10  ne  2  3265619.2
27  3  0.65  14  e  1  2767253.77777778|302  1  0.6  25  ne  2  3252323.2
27  3  0.65  14  e  1  2767253.77777778|303  1  0.61  14  ne  2  3252830.4
27  3  0.65  14  e  1  2767253.77777778|304  3  0.6  26  ne  2  3243608
27  3  0.65  14  e  1  2767253.77777778|311  3  0.69  11  ne  2  3237832
27  3  0.65  14  e  1  2767253.77777778|313  0  0.53  22  ne  2  3264115.6
27  3  0.65  14  e  1  2767253.77777778|318  1  0.86  5  ne  2  3260386.4
27  3  0.65  14  e  1  2767253.77777778|321  3  0.66  8  ne  2  2770140.44444444
27  3  0.65  14  e  1  2767253.77777778|325  3  0.63  14  ne  2  2766162.66666667
27  3  0.65  14  e  1  2767253.77777778|327  1  0.8  18  ne  2  3260394.4
27  3  0.65  14  e  1  2767253.77777778|328  0  0.68  6  ne  2  3273346.8
27  3  0.65  14  e  1  2767253.77777778|329  3  0.57  21  ne  2  2763052.88888889
27  3  0.65  14  e  1  2767253.77777778|331  2  0.69  15  ne  2  2786843.55555556
27  3  0.65  14  e  1  2767253.77777778|333  3  0.73  11  ne  2  2773706
27  3  0.65  14  e  1  2767253.77777778|334  3  0.52  18  ne  2  3236598
27  3  0.65  14  e  1  2767253.77777778|337  3  0.53  6  ne  2  2768009.33333333
27  3  0.65  14  e  1  2767253.77777778|339  3  0.76  23  ne  2  3243996.8
27  3  0.65  14  e  1  2767253.77777778|340  3  0.72  6  ne  2  2769267.55555556
27  3  0.65  14  e  1  2767253.77777778|344  1  0.63  10  ne  2  3249929.2
27  3  0.65  14  e  1  2767253.77777778|345  3  0.62  13  ne  2  2769913.55555556
27  3  0.65  14  e  1  2767253.77777778|346  2  0.67  16  ne  2  3248428.8
27  3  0.65  14  e  1  2767253.77777778|347  3  0.77  11  ne  2  2771118.44444444
27  3  0.65  14  e  1  2767253.77777778|349  3  0.77  21  ne  2  3241053.2
27  3  0.65  14  e  1  2767253.77777778|351  1  0.72  18  ne  2  3240555.2
27  3  0.65  14  e  1  2767253.77777778|352  0  0.83  15  ne  2  3271611.2
27  3  0.65  14  e  1  2767253.77777778|354  3  0.55  23  ne  2  3233492
27  3  0.65  14  e  1  2767253.77777778|355  1  0.56  9  ne  2  3260417.2
27  3  0.65  14  e  1  2767253.77777778|357  0  0.68  20  ne  2  3262262
27  3  0.65  14  e  1  2767253.77777778|358  3  0.6  15  ne  2  3240318.8
27  3  0.65  14  e  1  2767253.77777778|359  3  0.69  31  ne  2  2774017.55555556
27  3  0.65  14  e  1  2767253.77777778|360  0  0.76  24  ne  2  3255178.8
