.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
160  2  0.353  38  e  1  3442298.85714286|280  2  0.3622  46  ne  2  3443901.71428571
160  2  0.353  38  e  1  3442298.85714286|281  2  0.3533  33  ne  2  3449601.71428571
160  2  0.353  38  e  1  3442298.85714286|282  2  0.2647  41  ne  2  3446655.71428571
160  2  0.353  38  e  1  3442298.85714286|283  2  0.277  58  ne  2  3445062.28571429
160  2  0.353  38  e  1  3442298.85714286|288  2  0.3504  38  ne  2  3446542.28571429
160  2  0.353  38  e  1  3442298.85714286|291  3  0.4024  41  ne  2  3436639.14285714
160  2  0.353  38  e  1  3442298.85714286|293  2  0.3628  21  ne  2  3447536.57142857
160  2  0.353  38  e  1  3442298.85714286|295  2  0.3059  36  ne  2  3449993.71428571
160  2  0.353  38  e  1  3442298.85714286|303  2  0.3593  34  ne  2  3450389.14285714
160  2  0.353  38  e  1  3442298.85714286|304  2  0.2016  35  ne  2  3450664.85714286
160  2  0.353  38  e  1  3442298.85714286|305  2  0.2454  43  ne  2  3448967.71428571
160  2  0.353  38  e  1  3442298.85714286|307  2  0.3706  30  ne  2  3446891.71428571
160  2  0.353  38  e  1  3442298.85714286|308  2  0.353  35  ne  2  3451324.85714286
160  2  0.353  38  e  1  3442298.85714286|309  1  0.4843  44  ne  2  3450466.28571429
160  2  0.353  38  e  1  3442298.85714286|313  2  0.2515  43  ne  2  3445899.14285714
160  2  0.353  38  e  1  3442298.85714286|314  0  0.329  28  ne  2  3443736.28571429
160  2  0.353  38  e  1  3442298.85714286|317  3  0.2439  39  ne  2  3433482
160  2  0.353  38  e  1  3442298.85714286|318  1  0.2347  39  ne  2  3451842.57142857
160  2  0.353  38  e  1  3442298.85714286|319  2  0.3967  45  ne  2  3448776.85714286
160  2  0.353  38  e  1  3442298.85714286|320  2  0.334  26  ne  2  3444926
160  2  0.353  38  e  1  3442298.85714286|324  2  0.3507  44  ne  2  3446694.85714286
160  2  0.353  38  e  1  3442298.85714286|325  2  0.6029  38  ne  2  3448297.42857143
160  2  0.353  38  e  1  3442298.85714286|328  2  0.4306  37  ne  2  3444827.14285714
160  2  0.353  38  e  1  3442298.85714286|329  3  0.3618  36  ne  2  3435242.57142857
160  2  0.353  38  e  1  3442298.85714286|331  3  0.4049  37  ne  2  3432693.42857143
160  2  0.353  38  e  1  3442298.85714286|332  2  0.2583  40  ne  2  3449806.85714286
160  2  0.353  38  e  1  3442298.85714286|338  0  0.4979  47  ne  2  3469571.14285714
160  2  0.353  38  e  1  3442298.85714286|340  2  0.4417  34  ne  2  3448143.71428571
160  2  0.353  38  e  1  3442298.85714286|341  1  0.4016  37  ne  2  3453650
160  2  0.353  38  e  1  3442298.85714286|346  2  0.3154  38  ne  2  3447346.57142857
160  2  0.353  38  e  1  3442298.85714286|349  2  0.3953  28  ne  2  3454123.71428571
160  2  0.353  38  e  1  3442298.85714286|350  2  0.3928  45  ne  2  3449168.28571429
160  2  0.353  38  e  1  3442298.85714286|351  3  0.3936  48  ne  2  3439182.85714286
160  2  0.353  38  e  1  3442298.85714286|353  2  0.3326  35  ne  2  3452260
160  2  0.353  38  e  1  3442298.85714286|354  0  0.2648  36  ne  2  3442466.85714286
160  2  0.353  38  e  1  3442298.85714286|357  0  0.3912  20  ne  2  3453272.57142857
160  2  0.353  38  e  1  3442298.85714286|359  0  0.3502  35  ne  2  3449917.71428571
160  2  0.353  38  e  1  3442298.85714286|361  2  0.4315  36  ne  2  3450152.28571429
160  2  0.353  38  e  1  3442298.85714286|362  0  0.2454  49  ne  2  3446961.42857143
160  2  0.353  38  e  1  3442298.85714286|363  2  0.3714  39  ne  2  3452803.42857143
160  2  0.353  38  e  1  3442298.85714286|367  2  0.398  37  ne  2  3450301.14285714
160  2  0.353  38  e  1  3442298.85714286|370  1  0.3004  32  ne  2  3446877.14285714
160  2  0.353  38  e  1  3442298.85714286|371  1  0.3754  33  ne  2  3456178
160  2  0.353  38  e  1  3442298.85714286|373  2  0.2963  32  ne  2  3452062.57142857
160  2  0.353  38  e  1  3442298.85714286|376  2  0.335  37  ne  2  3444973.71428571
160  2  0.353  38  e  1  3442298.85714286|379  2  0.3209  41  ne  2  3444460.57142857
160  2  0.353  38  e  1  3442298.85714286|380  3  0.371  54  ne  2  3430875.14285714
160  2  0.353  38  e  1  3442298.85714286|381  3  0.4186  51  ne  2  3434475.14285714
160  2  0.353  38  e  1  3442298.85714286|382  0  0.347  29  ne  2  3447538.57142857
160  2  0.353  38  e  1  3442298.85714286|383  2  0.3764  26  ne  2  3446287.14285714
160  2  0.353  38  e  1  3442298.85714286|384  2  0.3459  53  ne  2  3447613.71428571
