.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
174  3  0.5282  29  e  1  3624736.88888889|278  3  0.4049  26  ne  2  3628035.55555556
174  3  0.5282  29  e  1  3624736.88888889|282  2  0.478  36  ne  2  4777552.8
174  3  0.5282  29  e  1  3624736.88888889|283  3  0.5327  24  ne  2  3627998.66666667
174  3  0.5282  29  e  1  3624736.88888889|285  3  0.4237  27  ne  2  3628537.77777778
174  3  0.5282  29  e  1  3624736.88888889|286  0  0.5803  6  ne  2  4800990.8
174  3  0.5282  29  e  1  3624736.88888889|287  3  0.5427  28  ne  2  3632496
174  3  0.5282  29  e  1  3624736.88888889|289  0  0.5146  26  ne  2  4802508.8
174  3  0.5282  29  e  1  3624736.88888889|290  3  0.5717  22  ne  2  4767728.8
174  3  0.5282  29  e  1  3624736.88888889|292  1  0.5672  42  ne  2  4788584.8
174  3  0.5282  29  e  1  3624736.88888889|296  3  0.5029  28  ne  2  4769979.6
174  3  0.5282  29  e  1  3624736.88888889|297  3  0.6978  6  ne  2  3632001.33333333
174  3  0.5282  29  e  1  3624736.88888889|301  3  0.5762  32  ne  2  3630827.77777778
174  3  0.5282  29  e  1  3624736.88888889|303  3  0.4487  29  ne  2  3631290
174  3  0.5282  29  e  1  3624736.88888889|304  3  0.4902  18  ne  2  3630933.33333333
174  3  0.5282  29  e  1  3624736.88888889|308  0  0.3997  31  ne  2  4779935.2
174  3  0.5282  29  e  1  3624736.88888889|309  3  0.5587  22  ne  2  4765145.6
174  3  0.5282  29  e  1  3624736.88888889|312  3  0.4385  18  ne  2  3625584.88888889
174  3  0.5282  29  e  1  3624736.88888889|313  3  0.5373  38  ne  2  3629731.55555556
174  3  0.5282  29  e  1  3624736.88888889|315  1  0.6128  44  ne  2  4786602
174  3  0.5282  29  e  1  3624736.88888889|317  3  0.5491  41  ne  2  3631071.11111111
174  3  0.5282  29  e  1  3624736.88888889|319  3  0.5494  36  ne  2  3632572.66666667
174  3  0.5282  29  e  1  3624736.88888889|320  3  0.5672  43  ne  2  3630465.55555556
174  3  0.5282  29  e  1  3624736.88888889|321  3  0.6503  32  ne  2  3633118.88888889
174  3  0.5282  29  e  1  3624736.88888889|322  0  0.5337  18  ne  2  4804135.6
174  3  0.5282  29  e  1  3624736.88888889|323  1  0.4966  27  ne  2  4788236.4
174  3  0.5282  29  e  1  3624736.88888889|325  3  0.4539  37  ne  2  4766671.6
174  3  0.5282  29  e  1  3624736.88888889|326  3  0.592  44  ne  2  3628436.44444444
174  3  0.5282  29  e  1  3624736.88888889|328  2  0.4946  31  ne  2  3644141.55555556
174  3  0.5282  29  e  1  3624736.88888889|331  3  0.4441  33  ne  2  3627268.66666667
174  3  0.5282  29  e  1  3624736.88888889|333  3  0.6194  27  ne  2  3624252.66666667
174  3  0.5282  29  e  1  3624736.88888889|334  2  0.4877  24  ne  2  3641750
174  3  0.5282  29  e  1  3624736.88888889|335  0  0.4145  27  ne  2  4774199.2
174  3  0.5282  29  e  1  3624736.88888889|337  3  0.5043  25  ne  2  3632463.11111111
174  3  0.5282  29  e  1  3624736.88888889|338  3  0.4593  34  ne  2  4763752.4
174  3  0.5282  29  e  1  3624736.88888889|343  3  0.4406  17  ne  2  3630014.44444444
174  3  0.5282  29  e  1  3624736.88888889|344  0  0.5294  26  ne  2  4796426.4
174  3  0.5282  29  e  1  3624736.88888889|347  1  0.543  26  ne  2  4791776.4
174  3  0.5282  29  e  1  3624736.88888889|349  0  0.6388  33  ne  2  4816050.4
174  3  0.5282  29  e  1  3624736.88888889|350  3  0.716  22  ne  2  3633522
174  3  0.5282  29  e  1  3624736.88888889|351  1  0.5366  38  ne  2  4800930.4
174  3  0.5282  29  e  1  3624736.88888889|352  3  0.5674  29  ne  2  4768234
174  3  0.5282  29  e  1  3624736.88888889|355  1  0.5767  28  ne  2  4798224.8
174  3  0.5282  29  e  1  3624736.88888889|359  3  0.4998  49  ne  2  3629143.11111111
174  3  0.5282  29  e  1  3624736.88888889|360  3  0.5163  14  ne  2  3626242.44444444
174  3  0.5282  29  e  1  3624736.88888889|361  2  0.5895  33  ne  2  4789857.6
174  3  0.5282  29  e  1  3624736.88888889|362  1  0.549  36  ne  2  4789250
174  3  0.5282  29  e  1  3624736.88888889|363  3  0.5106  38  ne  2  3631789.77777778
174  3  0.5282  29  e  1  3624736.88888889|365  1  0.4256  31  ne  2  4794387.6
174  3  0.5282  29  e  1  3624736.88888889|374  2  0.6182  15  ne  2  4791418.8
174  3  0.5282  29  e  1  3624736.88888889|376  3  0.4993  41  ne  2  3631792.44444444
174  3  0.5282  29  e  1  3624736.88888889|377  1  0.4839  32  ne  2  4785577.6
174  3  0.5282  29  e  1  3624736.88888889|380  1  0.4873  26  ne  2  4787516
174  3  0.5282  29  e  1  3624736.88888889|382  3  0.5686  35  ne  2  3631562
174  3  0.5282  29  e  1  3624736.88888889|384  3  0.6808  33  ne  2  3630982
174  3  0.5282  29  e  1  3624736.88888889|386  3  0.6483  31  ne  2  4768962.8
174  3  0.5282  29  e  1  3624736.88888889|387  3  0.6806  35  ne  2  4768492
174  3  0.5282  29  e  1  3624736.88888889|389  2  0.5374  27  ne  2  3643113.33333333
174  3  0.5282  29  e  1  3624736.88888889|394  3  0.5042  22  ne  2  4763264.4
174  3  0.5282  29  e  1  3624736.88888889|399  0  0.6986  39  ne  2  4803718
174  3  0.5282  29  e  1  3624736.88888889|401  2  0.4032  34  ne  2  4779917.2
174  3  0.5282  29  e  1  3624736.88888889|402  2  0.5967  18  ne  2  4792697.6
174  3  0.5282  29  e  1  3624736.88888889|403  2  0.5587  40  ne  2  3640723.11111111
174  3  0.5282  29  e  1  3624736.88888889|404  0  0.4694  23  ne  2  4780682
174  3  0.5282  29  e  1  3624736.88888889|405  0  0.5074  32  ne  2  4800584
174  3  0.5282  29  e  1  3624736.88888889|406  0  0.5482  17  ne  2  4805492
174  3  0.5282  29  e  1  3624736.88888889|407  0  0.5958  22  ne  2  4794863.2
174  3  0.5282  29  e  1  3624736.88888889|408  0  0.5251  38  ne  2  4783572.8
174  3  0.5282  29  e  1  3624736.88888889|409  3  0.2602  23  ne  2  3630873.11111111
174  3  0.5282  29  e  1  3624736.88888889|412  3  0.5408  25  ne  2  4770695.6
174  3  0.5282  29  e  1  3624736.88888889|415  2  0.4894  34  ne  2  4776844.8
174  3  0.5282  29  e  1  3624736.88888889|416  3  0.6267  14  ne  2  3626367.77777778
174  3  0.5282  29  e  1  3624736.88888889|422  1  0.5352  38  ne  2  4795864.4
174  3  0.5282  29  e  1  3624736.88888889|426  1  0.4068  30  ne  2  4786359.2
174  3  0.5282  29  e  1  3624736.88888889|431  0  0.575  37  ne  2  4786361.2
174  3  0.5282  29  e  1  3624736.88888889|432  3  0.4825  27  ne  2  3630008
174  3  0.5282  29  e  1  3624736.88888889|438  1  0.4839  29  ne  2  4785631.6
174  3  0.5282  29  e  1  3624736.88888889|440  1  0.5263  37  ne  2  4790534.4
174  3  0.5282  29  e  1  3624736.88888889|441  1  0.6597  27  ne  2  4792493.2
174  3  0.5282  29  e  1  3624736.88888889|442  3  0.4714  18  ne  2  3626928
174  3  0.5282  29  e  1  3624736.88888889|447  3  0.4364  20  ne  2  3631274.22222222
174  3  0.5282  29  e  1  3624736.88888889|449  3  0.4678  28  ne  2  4766604.8
174  3  0.5282  29  e  1  3624736.88888889|450  3  0.3461  23  ne  2  4762590.4
174  3  0.5282  29  e  1  3624736.88888889|457  1  0.5992  28  ne  2  4802392.8
174  3  0.5282  29  e  1  3624736.88888889|458  0  0.505  30  ne  2  4796903.2
174  3  0.5282  29  e  1  3624736.88888889|459  2  0.3612  23  ne  2  4779025.2
174  3  0.5282  29  e  1  3624736.88888889|460  2  0.4904  21  ne  2  4783676.8
174  3  0.5282  29  e  1  3624736.88888889|464  0  0.3657  28  ne  2  4782168
174  3  0.5282  29  e  1  3624736.88888889|465  3  0.4006  36  ne  2  3631427.11111111
174  3  0.5282  29  e  1  3624736.88888889|466  3  0.4357  27  ne  2  3631105.33333333
174  3  0.5282  29  e  1  3624736.88888889|470  2  0.4246  46  ne  2  4784545.6
174  3  0.5282  29  e  1  3624736.88888889|476  0  0.5207  32  ne  2  4799018
174  3  0.5282  29  e  1  3624736.88888889|477  3  0.5062  24  ne  2  4762378.4
174  3  0.5282  29  e  1  3624736.88888889|479  1  0.6783  22  ne  2  4801736.4
174  3  0.5282  29  e  1  3624736.88888889|481  3  0.5646  18  ne  2  3631706.88888889
174  3  0.5282  29  e  1  3624736.88888889|484  3  0.4779  27  ne  2  3629346.22222222
