.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
211  3  0.5  15  e  1  3624791.55555556|278  3  0.37  11  ne  2  3627780
211  3  0.5  15  e  1  3624791.55555556|282  3  0.58  10  ne  2  3145911.75
211  3  0.5  15  e  1  3624791.55555556|284  3  0.48  14  ne  2  3628550.22222222
211  3  0.5  15  e  1  3624791.55555556|285  1  0.47  9  ne  2  3161723.25
211  3  0.5  15  e  1  3624791.55555556|288  0  0.49  12  ne  2  3652672.44444444
211  3  0.5  15  e  1  3624791.55555556|289  3  0.55  7  ne  2  3146570.25
211  3  0.5  15  e  1  3624791.55555556|291  1  0.54  29  ne  2  3644026
211  3  0.5  15  e  1  3624791.55555556|296  3  0.44  33  ne  2  3143592
211  3  0.5  15  e  1  3624791.55555556|297  0  0.58  20  ne  2  3659368.22222222
211  3  0.5  15  e  1  3624791.55555556|298  0  0.48  21  ne  2  3165452.5
211  3  0.5  15  e  1  3624791.55555556|301  3  0.55  18  ne  2  3628452
211  3  0.5  15  e  1  3624791.55555556|303  3  0.42  15  ne  2  3628639.55555556
211  3  0.5  15  e  1  3624791.55555556|304  3  0.46  3  ne  2  3627613.11111111
211  3  0.5  15  e  1  3624791.55555556|306  3  0.42  32  ne  2  3630966.88888889
211  3  0.5  15  e  1  3624791.55555556|308  0  0.37  17  ne  2  3164672
211  3  0.5  15  e  1  3624791.55555556|309  3  0.53  8  ne  2  3630885.33333333
211  3  0.5  15  e  1  3624791.55555556|312  3  0.41  4  ne  2  3147464
211  3  0.5  15  e  1  3624791.55555556|313  3  0.51  25  ne  2  3628550.22222222
211  3  0.5  15  e  1  3624791.55555556|315  1  0.59  31  ne  2  3163976.75
211  3  0.5  15  e  1  3624791.55555556|317  3  0.52  27  ne  2  3628396
211  3  0.5  15  e  1  3624791.55555556|319  1  0.51  10  ne  2  3162097.25
211  3  0.5  15  e  1  3624791.55555556|323  0  0.46  12  ne  2  3645349.33333333
211  3  0.5  15  e  1  3624791.55555556|324  3  0.5  22  ne  2  3629395.11111111
211  3  0.5  15  e  1  3624791.55555556|330  3  0.52  19  ne  2  3634094.44444444
211  3  0.5  15  e  1  3624791.55555556|331  3  0.34  6  ne  2  3626219.55555556
211  3  0.5  15  e  1  3624791.55555556|333  2  0.57  4  ne  2  3169379.25
211  3  0.5  15  e  1  3624791.55555556|335  1  0.45  12  ne  2  3164241.75
211  3  0.5  15  e  1  3624791.55555556|336  0  0.48  21  ne  2  3165452.5
211  3  0.5  15  e  1  3624791.55555556|338  0  0.46  13  ne  2  3170549.5
211  3  0.5  15  e  1  3624791.55555556|339  2  0.55  18  ne  2  3161888.25
211  3  0.5  15  e  1  3624791.55555556|340  2  0.61  25  ne  2  3650515.55555556
211  3  0.5  15  e  1  3624791.55555556|344  3  0.47  15  ne  2  3626657.33333333
211  3  0.5  15  e  1  3624791.55555556|345  3  0.51  5  ne  2  3627882
211  3  0.5  15  e  1  3624791.55555556|355  2  0.57  17  ne  2  3163110.5
211  3  0.5  15  e  1  3624791.55555556|356  3  0.51  18  ne  2  3636728
211  3  0.5  15  e  1  3624791.55555556|357  0  0.54  21  ne  2  3657198.66666667
211  3  0.5  15  e  1  3624791.55555556|358  0  0.59  2  ne  2  3175424.75
211  3  0.5  15  e  1  3624791.55555556|359  3  0.72  14  ne  2  3147970
211  3  0.5  15  e  1  3624791.55555556|360  1  0.33  15  ne  2  3160688
211  3  0.5  15  e  1  3624791.55555556|363  3  0.6  21  ne  2  3633855.11111111
211  3  0.5  15  e  1  3624791.55555556|364  3  0.48  14  ne  2  3628550.22222222
211  3  0.5  15  e  1  3624791.55555556|365  0  0.53  18  ne  2  3656659.33333333
211  3  0.5  15  e  1  3624791.55555556|373  2  0.45  7  ne  2  3153790.75
211  3  0.5  15  e  1  3624791.55555556|380  1  0.52  17  ne  2  3161890.25
211  3  0.5  15  e  1  3624791.55555556|383  0  0.49  31  ne  2  3171258.25
211  3  0.5  15  e  1  3624791.55555556|388  3  0.4  16  ne  2  3628547.33333333
211  3  0.5  15  e  1  3624791.55555556|389  1  0.57  7  ne  2  3163733.75
211  3  0.5  15  e  1  3624791.55555556|390  3  0.58  15  ne  2  3147196.75
211  3  0.5  15  e  1  3624791.55555556|391  3  0.49  35  ne  2  3634211.33333333
211  3  0.5  15  e  1  3624791.55555556|393  1  0.6  8  ne  2  3173342.25
211  3  0.5  15  e  1  3624791.55555556|394  3  0.42  35  ne  2  3146608.75
211  3  0.5  15  e  1  3624791.55555556|396  1  0.53  19  ne  2  3651429.33333333
211  3  0.5  15  e  1  3624791.55555556|400  3  0.55  8  ne  2  3630227.33333333
211  3  0.5  15  e  1  3624791.55555556|403  3  0.49  13  ne  2  3629109.55555556
211  3  0.5  15  e  1  3624791.55555556|405  3  0.47  22  ne  2  3627770.44444444
211  3  0.5  15  e  1  3624791.55555556|406  0  0.5  15  ne  2  3168619.25
211  3  0.5  15  e  1  3624791.55555556|410  3  0.51  11  ne  2  3633120
211  3  0.5  15  e  1  3624791.55555556|413  1  0.55  6  ne  2  3169093
211  3  0.5  15  e  1  3624791.55555556|415  1  0.53  18  ne  2  3652611.11111111
211  3  0.5  15  e  1  3624791.55555556|416  2  0.47  22  ne  2  3643240.22222222
211  3  0.5  15  e  1  3624791.55555556|417  0  0.49  22  ne  2  3166711.5
211  3  0.5  15  e  1  3624791.55555556|419  3  0.33  2  ne  2  3145768.75
211  3  0.5  15  e  1  3624791.55555556|422  0  0.58  10  ne  2  3656515.77777778
211  3  0.5  15  e  1  3624791.55555556|425  3  0.56  31  ne  2  3632437.33333333
211  3  0.5  15  e  1  3624791.55555556|426  3  0.51  14  ne  2  3149484.25
211  3  0.5  15  e  1  3624791.55555556|429  3  0.45  13  ne  2  3631034.88888889
211  3  0.5  15  e  1  3624791.55555556|435  3  0.5  24  ne  2  3627047.33333333
211  3  0.5  15  e  1  3624791.55555556|436  2  0.37  7  ne  2  3647143.33333333
211  3  0.5  15  e  1  3624791.55555556|437  3  0.59  13  ne  2  3150330
211  3  0.5  15  e  1  3624791.55555556|439  2  0.38  25  ne  2  3642347.77777778
211  3  0.5  15  e  1  3624791.55555556|443  3  0.4  5  ne  2  3629692.44444444
211  3  0.5  15  e  1  3624791.55555556|445  3  0.44  14  ne  2  3143888
211  3  0.5  15  e  1  3624791.55555556|446  3  0.31  8  ne  2  3628734
211  3  0.5  15  e  1  3624791.55555556|449  2  0.44  29  ne  2  3646936.66666667
211  3  0.5  15  e  1  3624791.55555556|451  1  0.44  23  ne  2  3162070.5
211  3  0.5  15  e  1  3624791.55555556|454  3  0.51  9  ne  2  3624912
211  3  0.5  15  e  1  3624791.55555556|455  0  0.44  15  ne  2  3159274.75
211  3  0.5  15  e  1  3624791.55555556|456  2  0.41  24  ne  2  3652099.55555556
211  3  0.5  15  e  1  3624791.55555556|458  0  0.63  17  ne  2  3170317.25
211  3  0.5  15  e  1  3624791.55555556|459  0  0.52  14  ne  2  3164487.25
