.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
99  3  0.54  16  e  1  2765698.44444444|278  1  0.4  5  ne  2  1864317.2
99  3  0.54  16  e  1  2765698.44444444|281  1  0.54  21  ne  2  1864165.6
99  3  0.54  16  e  1  2765698.44444444|283  1  0.42  8  ne  2  2786954.88888889
99  3  0.54  16  e  1  2765698.44444444|284  3  0.49  12  ne  2  2768192.44444444
99  3  0.54  16  e  1  2765698.44444444|288  3  0.32  18  ne  2  2766798.66666667
99  3  0.54  16  e  1  2765698.44444444|290  1  0.72  13  ne  2  1870791.6
99  3  0.54  16  e  1  2765698.44444444|291  1  0.5  19  ne  2  1860044.4
99  3  0.54  16  e  1  2765698.44444444|297  3  0.57  16  ne  2  2765426.22222222
99  3  0.54  16  e  1  2765698.44444444|298  2  0.62  11  ne  2  2780154.22222222
99  3  0.54  16  e  1  2765698.44444444|299  0  0.45  25  ne  2  2792450
99  3  0.54  16  e  1  2765698.44444444|301  1  0.55  8  ne  2  2788388.44444444
99  3  0.54  16  e  1  2765698.44444444|304  2  0.54  23  ne  2  2778994.88888889
99  3  0.54  16  e  1  2765698.44444444|305  3  0.53  21  ne  2  2762807.11111111
99  3  0.54  16  e  1  2765698.44444444|306  3  0.46  19  ne  2  2768373.77777778
99  3  0.54  16  e  1  2765698.44444444|310  3  0.58  21  ne  2  2772794.66666667
99  3  0.54  16  e  1  2765698.44444444|315  1  0.41  17  ne  2  2777320.44444444
99  3  0.54  16  e  1  2765698.44444444|316  3  0.51  7  ne  2  2765675.33333333
99  3  0.54  16  e  1  2765698.44444444|317  2  0.57  25  ne  2  2777135.11111111
99  3  0.54  16  e  1  2765698.44444444|319  3  0.37  20  ne  2  2765638.88888889
99  3  0.54  16  e  1  2765698.44444444|320  2  0.54  18  ne  2  2777096
99  3  0.54  16  e  1  2765698.44444444|324  1  0.55  21  ne  2  1860792
99  3  0.54  16  e  1  2765698.44444444|325  3  0.62  16  ne  2  2767934.44444444
99  3  0.54  16  e  1  2765698.44444444|326  3  0.51  21  ne  2  1856325.2
99  3  0.54  16  e  1  2765698.44444444|327  3  0.48  11  ne  2  2768441.11111111
99  3  0.54  16  e  1  2765698.44444444|329  0  0.38  10  ne  2  2785869.33333333
99  3  0.54  16  e  1  2765698.44444444|330  3  0.58  19  ne  2  1855305.2
99  3  0.54  16  e  1  2765698.44444444|331  3  0.66  14  ne  2  1854335.2
99  3  0.54  16  e  1  2765698.44444444|332  2  0.48  14  ne  2  2783456.44444444
99  3  0.54  16  e  1  2765698.44444444|333  1  0.56  23  ne  2  1863285.6
99  3  0.54  16  e  1  2765698.44444444|337  2  0.56  15  ne  2  2779831.77777778
99  3  0.54  16  e  1  2765698.44444444|338  3  0.62  13  ne  2  2764690.88888889
99  3  0.54  16  e  1  2765698.44444444|339  2  0.64  8  ne  2  1869165.6
99  3  0.54  16  e  1  2765698.44444444|340  3  0.61  11  ne  2  2763361.33333333
99  3  0.54  16  e  1  2765698.44444444|342  3  0.53  23  ne  2  2765146
99  3  0.54  16  e  1  2765698.44444444|346  0  0.57  9  ne  2  1867159.6
99  3  0.54  16  e  1  2765698.44444444|348  0  0.67  24  ne  2  1867794.4
99  3  0.54  16  e  1  2765698.44444444|349  0  0.48  24  ne  2  2785680
99  3  0.54  16  e  1  2765698.44444444|350  3  0.52  18  ne  2  2764603.77777778
99  3  0.54  16  e  1  2765698.44444444|353  0  0.72  7  ne  2  2790990.66666667
99  3  0.54  16  e  1  2765698.44444444|355  3  0.57  17  ne  2  2766772.88888889
99  3  0.54  16  e  1  2765698.44444444|357  3  0.51  22  ne  2  2764418.22222222
99  3  0.54  16  e  1  2765698.44444444|359  3  0.45  14  ne  2  1854877.6
99  3  0.54  16  e  1  2765698.44444444|361  1  0.57  21  ne  2  1866699.2
99  3  0.54  16  e  1  2765698.44444444|362  1  0.55  17  ne  2  2784580.88888889
99  3  0.54  16  e  1  2765698.44444444|364  2  0.51  22  ne  2  2779610.22222222
99  3  0.54  16  e  1  2765698.44444444|365  2  0.53  11  ne  2  2777291.55555556
99  3  0.54  16  e  1  2765698.44444444|371  3  0.51  5  ne  2  2767147.11111111
99  3  0.54  16  e  1  2765698.44444444|372  0  0.47  14  ne  2  1866330
99  3  0.54  16  e  1  2765698.44444444|374  0  0.34  16  ne  2  2782981.11111111
99  3  0.54  16  e  1  2765698.44444444|378  2  0.57  10  ne  2  2782705.33333333
99  3  0.54  16  e  1  2765698.44444444|382  3  0.55  17  ne  2  2765454.88888889
99  3  0.54  16  e  1  2765698.44444444|384  2  0.48  17  ne  2  2777875.77777778
99  3  0.54  16  e  1  2765698.44444444|385  2  0.39  7  ne  2  2779827.33333333
99  3  0.54  16  e  1  2765698.44444444|386  1  0.57  18  ne  2  2782874.22222222
99  3  0.54  16  e  1  2765698.44444444|387  3  0.48  21  ne  2  2761276.44444444
99  3  0.54  16  e  1  2765698.44444444|389  3  0.57  24  ne  2  2767742
99  3  0.54  16  e  1  2765698.44444444|391  0  0.46  7  ne  2  1868069.2
99  3  0.54  16  e  1  2765698.44444444|393  3  0.51  15  ne  2  2769162.44444444
99  3  0.54  16  e  1  2765698.44444444|396  3  0.47  12  ne  2  2765802.88888889
99  3  0.54  16  e  1  2765698.44444444|398  3  0.54  20  ne  2  2772992.66666667
99  3  0.54  16  e  1  2765698.44444444|399  3  0.57  20  ne  2  2772181.55555556
99  3  0.54  16  e  1  2765698.44444444|401  1  0.67  13  ne  2  1874105.2
99  3  0.54  16  e  1  2765698.44444444|404  0  0.49  19  ne  2  2788858
99  3  0.54  16  e  1  2765698.44444444|405  3  0.54  18  ne  2  2764324.22222222
99  3  0.54  16  e  1  2765698.44444444|406  1  0.48  16  ne  2  1871543.6
99  3  0.54  16  e  1  2765698.44444444|407  0  0.55  7  ne  2  1869464.4
99  3  0.54  16  e  1  2765698.44444444|410  0  0.53  12  ne  2  2788927.55555556
99  3  0.54  16  e  1  2765698.44444444|411  0  0.62  18  ne  2  1866320.8
99  3  0.54  16  e  1  2765698.44444444|413  0  0.48  20  ne  2  2788649.33333333
99  3  0.54  16  e  1  2765698.44444444|414  0  0.62  20  ne  2  2783167.11111111
99  3  0.54  16  e  1  2765698.44444444|415  3  0.49  6  ne  2  2767167.55555556
99  3  0.54  16  e  1  2765698.44444444|417  3  0.63  29  ne  2  1854393.2
99  3  0.54  16  e  1  2765698.44444444|418  0  0.56  11  ne  2  1864727.6
99  3  0.54  16  e  1  2765698.44444444|421  0  0.49  17  ne  2  2782894.66666667
99  3  0.54  16  e  1  2765698.44444444|422  3  0.56  21  ne  2  2766256.22222222
99  3  0.54  16  e  1  2765698.44444444|426  1  0.61  23  ne  2  2786464.66666667
99  3  0.54  16  e  1  2765698.44444444|429  3  0.6  8  ne  2  1853597.2
99  3  0.54  16  e  1  2765698.44444444|430  1  0.4  22  ne  2  1862409.6
99  3  0.54  16  e  1  2765698.44444444|431  3  0.59  10  ne  2  2765079.77777778
99  3  0.54  16  e  1  2765698.44444444|434  3  0.46  25  ne  2  2764853.77777778
99  3  0.54  16  e  1  2765698.44444444|435  3  0.51  23  ne  2  1850641.2
99  3  0.54  16  e  1  2765698.44444444|438  2  0.55  27  ne  2  2782613.77777778
99  3  0.54  16  e  1  2765698.44444444|440  3  0.38  15  ne  2  2767337.33333333
99  3  0.54  16  e  1  2765698.44444444|442  2  0.5  11  ne  2  2777283.55555556
99  3  0.54  16  e  1  2765698.44444444|446  2  0.41  13  ne  2  2777718.66666667
99  3  0.54  16  e  1  2765698.44444444|447  3  0.53  23  ne  2  2765146
99  3  0.54  16  e  1  2765698.44444444|448  3  0.51  16  ne  2  2767738
99  3  0.54  16  e  1  2765698.44444444|449  2  0.58  24  ne  2  2775324
99  3  0.54  16  e  1  2765698.44444444|450  0  0.61  30  ne  2  1867053.6
99  3  0.54  16  e  1  2765698.44444444|452  2  0.58  9  ne  2  2783098.22222222
99  3  0.54  16  e  1  2765698.44444444|455  2  0.54  18  ne  2  2777096
99  3  0.54  16  e  1  2765698.44444444|456  3  0.52  24  ne  2  2768635.55555556
99  3  0.54  16  e  1  2765698.44444444|458  2  0.56  12  ne  2  2784423.55555556
99  3  0.54  16  e  1  2765698.44444444|460  0  0.42  15  ne  2  2783073.11111111
99  3  0.54  16  e  1  2765698.44444444|464  3  0.59  11  ne  2  2768756.22222222
99  3  0.54  16  e  1  2765698.44444444|467  0  0.69  13  ne  2  1871366
99  3  0.54  16  e  1  2765698.44444444|471  1  0.54  14  ne  2  2783231.11111111
99  3  0.54  16  e  1  2765698.44444444|474  1  0.53  13  ne  2  2783992.44444444
99  3  0.54  16  e  1  2765698.44444444|475  0  0.55  31  ne  2  1867536.4
99  3  0.54  16  e  1  2765698.44444444|476  3  0.57  16  ne  2  2768036.22222222
99  3  0.54  16  e  1  2765698.44444444|477  3  0.59  5  ne  2  2763357.11111111
99  3  0.54  16  e  1  2765698.44444444|480  3  0.66  19  ne  2  2769104.22222222
99  3  0.54  16  e  1  2765698.44444444|482  3  0.54  9  ne  2  2770077.11111111
99  3  0.54  16  e  1  2765698.44444444|484  1  0.53  15  ne  2  1867616
99  3  0.54  16  e  1  2765698.44444444|486  1  0.51  10  ne  2  1863804.8
90  3  0.54  6  e  1  2763927.11111111|282  2  0.65  10  ne  2  2787399.33333333
90  3  0.54  6  e  1  2763927.11111111|286  3  0.49  8  ne  2  2768103.77777778
90  3  0.54  6  e  1  2763927.11111111|287  1  0.55  7  ne  2  1867231.6
90  3  0.54  6  e  1  2763927.11111111|289  1  0.5  8  ne  2  1873760.4
