.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
18  3  0.79  62  e  1  3050309.25|281  3  0.78  55  ne  2  3241607.2
18  3  0.79  62  e  1  3050309.25|282  0  0.82  59  ne  2  3261471.2
18  3  0.79  62  e  1  3050309.25|283  2  0.93  59  ne  2  3258890
18  3  0.79  62  e  1  3050309.25|289  2  0.71  70  ne  2  3268141.6
18  3  0.79  62  e  1  3050309.25|290  3  0.84  52  ne  2  3052753.5
18  3  0.79  62  e  1  3050309.25|291  0  0.75  77  ne  2  3256609.6
18  3  0.79  62  e  1  3050309.25|295  3  0.65  63  ne  2  3247782.8
18  3  0.79  62  e  1  3050309.25|296  3  0.77  66  ne  2  3054953.5
18  3  0.79  62  e  1  3050309.25|298  3  0.82  75  ne  2  3254752
18  3  0.79  62  e  1  3050309.25|299  3  0.7  64  ne  2  3248318.4
18  3  0.79  62  e  1  3050309.25|301  3  0.76  69  ne  2  3054014
18  3  0.79  62  e  1  3050309.25|302  3  0.68  64  ne  2  3056683.5
18  3  0.79  62  e  1  3050309.25|304  3  0.68  66  ne  2  3248401.6
18  3  0.79  62  e  1  3050309.25|309  1  0.8  61  ne  2  3276906.8
18  3  0.79  62  e  1  3050309.25|313  3  0.81  74  ne  2  3248235.6
18  3  0.79  62  e  1  3050309.25|314  2  0.81  48  ne  2  3256041.6
18  3  0.79  62  e  1  3050309.25|317  3  0.82  58  ne  2  3241854.4
18  3  0.79  62  e  1  3050309.25|318  3  0.74  69  ne  2  3245173.2
18  3  0.79  62  e  1  3050309.25|321  3  0.81  54  ne  2  3053641.25
18  3  0.79  62  e  1  3050309.25|323  1  0.79  48  ne  2  3273431.6
18  3  0.79  62  e  1  3050309.25|324  0  0.85  67  ne  2  3270003.6
18  3  0.79  62  e  1  3050309.25|326  2  0.81  50  ne  2  3265451.6
18  3  0.79  62  e  1  3050309.25|328  3  0.74  42  ne  2  3053481.75
18  3  0.79  62  e  1  3050309.25|329  3  0.69  68  ne  2  3248461.2
18  3  0.79  62  e  1  3050309.25|330  0  0.82  63  ne  2  3273378.4
18  3  0.79  62  e  1  3050309.25|331  3  0.91  63  ne  2  3259335.6
18  3  0.79  62  e  1  3050309.25|332  2  0.81  56  ne  2  3269705.2
18  3  0.79  62  e  1  3050309.25|333  3  0.66  58  ne  2  3054976.25
18  3  0.79  62  e  1  3050309.25|335  0  0.77  55  ne  2  3271757.6
18  3  0.79  62  e  1  3050309.25|340  2  0.65  71  ne  2  3254472.8
18  3  0.79  62  e  1  3050309.25|345  0  0.76  59  ne  2  3264923.2
18  3  0.79  62  e  1  3050309.25|346  3  0.94  65  ne  2  3271580
18  3  0.79  62  e  1  3050309.25|349  0  0.85  62  ne  2  3275314.8
18  3  0.79  62  e  1  3050309.25|350  0  0.87  67  ne  2  3267128.8
18  3  0.79  62  e  1  3050309.25|351  0  0.75  69  ne  2  3272004.8
18  3  0.79  62  e  1  3050309.25|352  1  0.73  71  ne  2  3268144.8
18  3  0.79  62  e  1  3050309.25|353  3  0.87  71  ne  2  3243550.4
18  3  0.79  62  e  1  3050309.25|357  3  0.74  87  ne  2  3050973.5
18  3  0.79  62  e  1  3050309.25|359  3  0.81  62  ne  2  3054672.25
18  3  0.79  62  e  1  3050309.25|363  3  0.78  64  ne  2  3243736
18  3  0.79  62  e  1  3050309.25|364  2  0.71  72  ne  2  3266478.4
18  3  0.79  62  e  1  3050309.25|366  3  0.76  76  ne  2  3254178
18  3  0.79  62  e  1  3050309.25|368  2  0.8  66  ne  2  3271564.8
18  3  0.79  62  e  1  3050309.25|369  3  0.98  74  ne  2  3271036.8
18  3  0.79  62  e  1  3050309.25|371  2  0.72  76  ne  2  3264275.2
18  3  0.79  62  e  1  3050309.25|372  3  0.8  61  ne  2  3251564.8
18  3  0.79  62  e  1  3050309.25|374  3  0.7  63  ne  2  3249934.4
18  3  0.79  62  e  1  3050309.25|380  1  0.91  62  ne  2  3277912.8
18  3  0.79  62  e  1  3050309.25|382  3  0.93  45  ne  2  3254961.6
18  3  0.79  62  e  1  3050309.25|385  0  0.79  59  ne  2  3279420.8
18  3  0.79  62  e  1  3050309.25|386  1  0.8  53  ne  2  3265516.4
18  3  0.79  62  e  1  3050309.25|390  2  0.87  63  ne  2  3267175.6
18  3  0.79  62  e  1  3050309.25|391  1  0.8  64  ne  2  3272709.6
18  3  0.79  62  e  1  3050309.25|393  2  0.79  68  ne  2  3264523.6
18  3  0.79  62  e  1  3050309.25|396  3  0.9  61  ne  2  3248504.4
18  3  0.79  62  e  1  3050309.25|398  3  0.86  67  ne  2  3250477.6
18  3  0.79  62  e  1  3050309.25|399  0  0.75  64  ne  2  3259796.4
18  3  0.79  62  e  1  3050309.25|400  2  0.86  66  ne  2  3259978.8
18  3  0.79  62  e  1  3050309.25|404  3  0.71  56  ne  2  3240525.2
18  3  0.79  62  e  1  3050309.25|406  3  0.69  46  ne  2  3246626.8
18  3  0.79  62  e  1  3050309.25|407  3  0.78  64  ne  2  3243736
18  3  0.79  62  e  1  3050309.25|410  0  0.7  65  ne  2  3265535.2
18  3  0.79  62  e  1  3050309.25|411  1  0.8  43  ne  2  3264223.2
18  3  0.79  62  e  1  3050309.25|415  3  0.76  58  ne  2  3054607.5
18  3  0.79  62  e  1  3050309.25|416  3  0.95  63  ne  2  3260729.6
18  3  0.79  62  e  1  3050309.25|417  2  0.75  59  ne  2  3279208
18  3  0.79  62  e  1  3050309.25|419  1  0.67  63  ne  2  3254931.2
18  3  0.79  62  e  1  3050309.25|421  2  0.92  57  ne  2  3274066
18  3  0.79  62  e  1  3050309.25|424  2  0.82  67  ne  2  3263055.6
18  3  0.79  62  e  1  3050309.25|425  3  0.89  56  ne  2  3252068.8
18  3  0.79  62  e  1  3050309.25|426  3  0.79  62  ne  2  3050309.25
18  3  0.79  62  e  1  3050309.25|428  3  0.77  51  ne  2  3252309.2
18  3  0.79  62  e  1  3050309.25|430  0  0.78  69  ne  2  3262619.2
